Hectad,Tetrads
SN75,1
SY99,6
J04,1
SN66,3
NY77,14
J13,1
NY82,2
NY69,2
SH92,1
N42,1
SH91,3
SY89,9
SY78,1
NY10,3
NY78,5
R13,1
NY95,1
NH91,7
N53,1
NT09,1
NO19,2
N69,1
NY87,2
R14,1
TG12,1
SU82,2
NM82,1
NG89,1
SU30,5
NG87,3
NY67,12
NX78,1
NS66,3
SH93,1
NT83,1
NS87,14
HY32,2
NS34,2
NY08,1
NT05,4
N72,3
SD55,2
NY57,3
NY79,3
SH64,2
N82,1
NY73,7
SX67,1
NG50,2
NT40,1
SJ43,5
NS33,1
NY58,4
NS97,2
SD68,1
H89,3
NT60,6
NJ01,11
NJ02,2
NH92,1
NG34,2
SM93,1
NT64,3
TG03,1
NS40,1
NG72,7
NT42,1
NX28,1
NS96,4
NS18,1
TQ42,1
NS37,4
SD86,2
NY99,2
NY97,1
NS36,5
NC13,10
NS46,1
NS74,1
NB44,5
NY74,3
N62,1
SJ69,1
NY86,1
NY65,6
NY49,2
NC44,1
NT65,1
NS45,8
NX66,1
NC15,1
NR94,1
SU96,6
NG97,6
SU86,6
SD58,1
SU47,2
NY25,8
SH56,1
SY88,6
NY83,5
SN99,3
NM93,3
NT06,2
NZ04,1
SN89,2
NT90,4
NY85,1
SJ50,1
SZ09,3
N73,3
H90,1
NT18,1
NS26,8
D01,3
SY98,7
NS09,1
NS63,3
NC36,2
NG54,8
NJ25,1
NY76,4
NC21,4
M67,3
NG88,2
ND24,1
SH44,2
H41,1
NY89,3
SK02,1
NG40,1
NS91,2
NB45,2
M52,1
C92,1
ND02,1
NO27,2
NN99,1
NS89,2
N49,1
NN78,1
NJ11,1
NH22,2
NY48,2
NG62,2
NO37,1
NC75,2
HU43,1
NH02,1
NN46,1
SN57,2
H05,1
NN49,1
NH06,1
NC55,2
NC93,2
NJ21,2
C91,2
NH80,2
NC42,1
NS52,3
NN56,1
TF62,2
ND03,2
SH73,1
M90,1
C82,1
NB23,2
NC84,1
NN36,3
NG78,1
NY33,3
NC64,1
N00,1
SH63,5
SU94,1
SD61,2
NB42,1
NO76,1
C90,1
D02,2
NY66,6
NC85,2
H99,1
NO35,1
NN04,1
M62,1
HY40,1
NB43,2
NJ00,2
SU10,4
NH84,1
NH83,1
NS39,2
NO48,1
W15,1
SN55,1
NN17,1
NX96,1
NO26,1
NC52,3
NX77,1
ND04,3
SK26,1
NT00,2
NN30,1
NG30,3
G75,2
D12,2
NS67,2
SN76,1
NY32,2
M53,1
NJ23,2
M91,1
NM49,3
NX97,1
NR59,1
J19,1
NS27,3
NC95,3
NS62,4
NC01,5
S25,1
NN54,3
SH84,2
NS55,2
SE71,1
NX45,1
L73,1
H71,1
G01,2
NG70,1
NS77,1
HU49,2
SU91,1
NG41,6
NC00,2
SD38,3
SX68,2
NT11,5
G89,1
NC35,1
NC37,1
B90,1
B70,1
NK05,3
J46,1
NN89,1
NR39,1
NT41,2
SE89,8
D21,1
L84,1
M58,3
NM64,1
B71,1
NT16,2
NS53,2
NC02,6
SU95,2
NC50,2
NN85,2
NS48,3
NS47,1
SU00,3
J45,1
T08,1
NY27,1
NC14,6
NO17,2
NT86,2
NS85,2
NY55,3
B92,3
SY08,2
HU58,1
NN83,1
O11,1
B80,2
NG98,1
NT15,3
NG47,1
NJ95,1
NO08,2
NM74,2
NS88,1
NM39,1
SU21,6
NB21,1
NY72,1
F70,1
SN69,6
NY54,1
SH75,4
NM91,1
NN38,1
NC12,8
L97,2
SJ72,1
NY21,1
NX48,2
F60,1
M17,1
NG84,1
SU11,3
NM29,1
NS35,1
NS99,2
SX18,1
NX69,1
NX37,2
NN98,1
NS54,4
NT25,3
NN58,1
NW96,1
L65,1
SZ19,1
G78,1
SH90,3
SH65,5
NO09,8
NN15,1
NJ96,1
NT93,1
SC27,1
NS69,1
F83,1
SE79,2
NM85,1
NS82,3
NH90,1
SU81,1
SU20,3
M33,1
J57,1
NJ70,2
NC03,4
NJ60,1
J22,3
N81,1
NY64,3
HY20,1
N83,1
L74,4
H12,1
M65,3
M68,2
NZ08,1
M05,1
SD56,1
M74,2
NG43,1
B82,1
NJ04,1
NB55,2
N70,1
NT31,2
NJ65,1
C00,1
TQ43,3
H08,1
SD88,1
NS92,1
NT14,2
NY37,1
NJ55,4
N23,3
NS86,2
SZ29,1
SD66,2
TQ73,1
NH32,2
SJ05,1
NJ72,1
SD54,1
NU03,1
NC22,4
NH46,1
R99,2
NS94,3
H54,1
NS64,4
SD28,1
NC24,4
SH95,3
S18,1
S17,1
N10,1
NC20,3
R15,1
N68,2
R98,1
NY75,2
TQ46,2
R26,1
SD48,1
NB33,1
NN44,1
NC94,2
SN84,1
R58,1
ND29,1
NC40,2
N13,1
NJ85,1
NM67,1
Q96,2
M79,4
NY39,1
NY63,1
NB54,2
NC34,1
M83,1
NY22,1
N04,3
NH03,2
SM92,1
H37,1
NN43,2
N14,2
NG44,4
G42,2
SY39,1
NJ41,1
V77,3
SX56,1
NX98,1
D23,1
V57,1
N03,2
R57,2
