Hectad,Tetrads
HY30,4
SE07,3
SO20,22
SO39,11
SD69,3
NG37,3
SU85,2
NB23,4
SU97,3
SH62,10
SD82,25
SE10,14
NZ09,7
SN52,12
SO50,9
SN64,17
NN25,5
SJ56,8
SE00,15
TL25,2
SN60,20
TL45,2
SN92,15
SK08,21
SX05,9
ST29,11
SD62,18
SN14,4
SW71,2
SK55,3
SE70,6
NG72,16
SD71,23
SX18,11
SJ72,3
SN40,9
SW74,6
SK19,23
NH15,3
NT16,11
NG97,15
NH91,12
SJ88,6
SX97,4
SJ45,2
NY87,10
NS09,9
SO48,3
SN10,1
TQ16,4
NZ14,7
NT56,10
NU12,1
NM93,12
NY88,4
SK50,1
T09,6
NY84,14
TQ43,10
SE63,3
SJ99,18
NT67,7
ST19,12
TG21,1
SN72,19
SD51,7
TQ19,1
SU87,2
SN61,17
NB43,1
SE02,6
TQ42,5
SJ75,2
TQ64,1
NY64,8
TG33,1
SC39,6
SN43,17
SJ11,3
NY78,11
SH65,13
SK07,13
C91,2
N69,2
SU99,2
TG12,5
R13,1
SU00,11
SO11,23
R85,4
S19,2
SH61,11
SD54,12
NY69,16
SH74,11
NO19,6
NZ03,11
SX16,8
NK03,3
SK34,4
J12,1
SN93,8
NX85,2
NH45,7
NY96,4
SO00,16
R75,3
TM47,2
TQ46,2
NG43,10
NN00,6
TG11,2
NJ80,12
NM54,4
SU72,2
SE05,9
TF26,1
R14,2
NJ01,14
NM82,16
SN66,20
SD97,10
SN87,14
SO67,7
SJ57,5
ST73,2
SN75,17
SY99,10
SK04,9
SU36,2
SK27,12
NS46,9
SN88,18
SN79,19
NT86,7
SN71,21
NY26,2
SO77,3
SN33,14
SU82,9
SN44,7
SZ08,6
NY11,6
SD84,9
J04,1
SN69,9
NT45,7
SO02,12
SN90,20
NY40,7
NY79,12
NN10,5
NY68,10
SN98,11
SN23,12
NX84,1
SU22,3
SD57,9
SX46,4
J20,1
SN45,5
TQ73,6
N98,1
SW43,12
SN65,10
NT09,1
SD67,8
SS83,5
NS18,11
J16,1
SK09,23
SJ97,6
SE14,4
NY81,4
R12,2
SK79,2
SU96,11
SO71,1
NT04,2
SX07,2
NS87,17
SY78,3
SD76,5
SH80,8
ST45,2
SH45,3
NY55,12
SN56,11
SU56,4
SS20,1
SN50,8
TG02,1
SX87,2
TQ23,7
SO40,2
SO81,2
SS69,10
ST84,2
TM46,3
SN22,5
NU00,3
J39,1
ST55,2
SW73,9
TQ49,5
J13,2
SN51,17
NJ91,7
J35,1
SS59,11
NH81,3
S43,1
NC00,7
S64,1
NC12,13
NT52,2
SN70,19
SK46,2
NO00,2
SH95,6
R10,2
SU10,8
TR05,1
NS08,4
TL48,1
NC21,16
SO58,3
TM49,2
S33,1
SO57,4
SU30,2
NR56,2
SD96,4
NC25,5
NR96,2
W29,1
NY22,4
SO35,3
NT95,3
SE71,12
NT15,6
SU94,7
SK69,3
R61,1
SO25,3
NM98,2
NS64,5
SH90,12
SD47,6
NR87,4
NS07,8
R71,1
SN32,11
SD92,20
SH91,10
SX38,1
SU83,11
R15,2
SY79,2
SS63,1
NH64,4
NZ26,1
TL88,1
TG31,5
NT05,4
NN12,8
SX27,14
SW85,1
NT54,5
NC22,18
NC36,4
NZ05,6
NN03,6
S81,1
SK31,3
NY89,5
ST65,1
NH54,1
SO49,13
NY80,12
NR99,3
NY29,2
TQ04,3
SN31,4
W59,1
NO34,3
R06,1
NC02,7
TQ63,3
TL57,2
NR88,3
W19,2
NS76,6
NT25,7
TG13,2
NJ41,4
NT29,1
SJ89,9
NM91,6
SW32,2
NT65,8
SH85,3
SD55,19
NC11,9
NN02,9
N68,2
S62,1
NC23,7
NR86,7
NZ12,2
NT75,8
SK32,5
SC38,17
N62,1
SN94,10
NS94,4
NS35,8
R16,2
S23,1
SP90,1
NY65,19
SO18,3
SY59,4
SX06,6
NC13,10
NR73,2
NC01,8
NF77,1
SU89,2
SP93,4
N91,1
TQ69,1
SO51,5
SD46,4
NY13,2
NH19,3
SC28,3
SK01,4
NM78,8
NM99,2
SJ73,8
SJ78,5
R78,1
S52,1
TG14,2
TQ53,3
R62,1
NR68,1
SK37,2
SJ85,5
SX69,6
SO23,13
SZ29,1
SZ58,5
SD17,3
SN63,14
NG34,6
SD66,18
D20,1
NT13,2
NR84,1
NN01,13
SX17,19
NZ01,3
SJ77,4
NR79,3
SH75,8
SD68,8
NC35,4
NX99,3
NN95,4
O00,2
SE80,1
R11,1
NB41,2
R96,1
S18,2
SJ69,7
SX89,1
SD93,15
SP27,1
SN84,14
NN30,11
O12,3
NR78,6
NY32,6
S14,1
TQ05,3
SC49,4
R26,1
SP31,1
H05,10
SZ39,2
NM75,5
TL40,1
W39,1
SJ68,3
O09,1
W98,1
NT48,1
SN57,3
W58,1
SN78,21
NT93,2
SU21,13
SU66,5
NY92,7
SD48,7
TQ82,1
SJ64,1
S17,1
TL21,1
NC24,8
SJ79,8
NH06,8
NC10,4
NZ44,1
NZ00,1
NX89,1
NY75,14
NR71,1
NC20,6
TL77,2
SE50,3
G72,2
NJ90,3
R97,1
NJ51,3
NG56,1
R51,1
R43,1
TQ45,1
NG96,9
TQ15,4
NT63,3
SO66,1
SX77,14
NS28,4
SK20,1
NR77,2
SN02,11
NB42,2
ST50,2
NZ08,1
R18,1
R91,1
NU03,2
TL42,2
R08,1
NN85,6
NS60,3
NS48,6
NT02,1
NY73,12
NS96,10
NT36,5
NY83,17
SH54,14
SW72,2
SD52,8
NN04,8
NY42,2
NT27,5
NZ02,12
SX66,19
NH62,1
SN42,11
NH17,1
SY39,4
M12,1
M54,1
SJ49,2
NO43,2
M45,1
SH70,8
NR85,4
SD64,13
NZ15,5
SN12,5
NG51,6
SN67,5
NS73,5
SK65,1
NT53,1
SD37,3
NJ02,8
SD56,16
NN92,2
NS57,4
M75,3
NT10,5
NY63,7
N12,1
SO73,1
SS88,8
NM64,7
T19,2
NY46,3
NY59,3
NY36,5
NO23,1
SK10,3
NR39,2
SK38,2
SJ74,6
NS19,5
NZ16,3
SH81,8
TL70,5
NJ70,5
SK96,3
SD98,2
SN34,2
NO10,3
SX67,13
SP09,3
TQ08,2
NY04,1
NY28,2
NO53,2
SO17,8
NZ33,1
NN22,6
SE01,14
SJ48,4
SE09,2
SO87,2
NT40,1
NH00,4
NO44,2
NM74,5
SD63,13
NJ12,5
SN54,11
NS38,8
SE16,6
M87,2
SX57,12
TF71,4
TQ52,2
SU93,8
SD94,5
NM47,2
TL99,2
NG71,7
NS65,7
SU76,2
NO13,1
SK78,1
TQ94,1
NG87,11
SH52,1
NS59,3
O11,17
SJ92,2
SJ66,1
NY01,2
NY07,2
M76,1
SO62,2
SX68,15
NY27,4
NY35,6
SS54,2
H94,2
M64,1
M26,1
NB03,1
SD29,19
SH44,12
SP78,1
M35,1
M55,1
NY60,6
HY40,2
SC48,6
NX27,3
NN23,5
NH46,5
SH66,16
NX98,3
SU46,4
NO30,1
SP19,3
NN65,2
NH22,5
NM44,2
NS06,6
SU45,1
NM71,7
R01,1
NS47,6
TF82,1
NM39,10
N87,1
NR98,5
NB21,2
NG18,1
SD78,3
W16,1
HY32,3
NH33,4
SU84,7
N57,2
NG53,13
NN06,10
ST20,2
TQ01,6
NS83,4
NS33,4
NY74,5
NH67,3
NN33,6
SJ93,4
NN54,6
SS82,4
NJ40,2
SS73,3
SS74,7
G57,1
SJ10,2
NH92,2
NG85,6
SN95,13
NJ43,3
NY37,4
SU08,1
SO16,5
N20,2
NJ04,1
J22,18
SN00,1
NM68,5
NX68,2
J36,1
NH90,8
NX69,3
NX03,1
NY72,4
NX74,1
SJ43,8
SN99,8
NN98,1
D13,3
N70,1
G99,3
ST21,4
SY68,1
NX18,1
NX75,1
NN99,6
NO08,4
NO09,9
NN07,9
NT70,7
NY02,3
NJ55,7
NT20,2
NH32,1
NN35,2
NJ81,2
SN35,2
J24,1
SO36,2
NM85,1
NH41,2
SN86,13
NS49,3
SD18,3
SK45,3
NX65,3
