ddb id,taxon name,qualifier,authority,vernacular,canonical
2cd4p9h.yvz,Dactylorhiza incarnata subsp. cruenta,,(O.F.Müll.) P.D.Sell,Mannog y Gors Tegeirian,Dactylorhiza incarnata subsp. cruenta
2cd4p9h.f75,Dactylorhiza incarnata subsp. incarnata,,(L.) Soó,mór Magairlín,Dactylorhiza incarnata subsp. incarnata
2cd4p9h.xha,Dactylorhiza incarnata subsp. ochroleuca,,(Wüstnei ex Boll) P.F.Hunt & Summerh.,,Dactylorhiza incarnata subsp. ochroleuca
2cd4p9h.sn,Dactylorhiza incarnata subsp. pulchella,,(Druce) Soó,,Dactylorhiza incarnata subsp. pulchella
2cd4p9h.6h7txa,Dactylorhiza incarnata x Gymnadenia borealis,,,,Dactylorhiza incarnata x Gymnadenia borealis
2cd4p9h.3hkvm6,Dactylorhiza incarnata x kerryensis,,,,Dactylorhiza incarnata x kerryensis
2cd4p9h.mfq,Dactylorhiza incarnata x maculata = D. x carnea,,(E.G.Camus) Soó,,Dactylorhiza x carnea
2cd4p9h.g7s,Dactylorhiza incarnata x praetermissa = D. x wintoni,,(A.Camus) P.F.Hunt,,Dactylorhiza x wintoni
2cd4p9h.wdd,Dactylorhiza incarnata x purpurella = D. x latirella,,(P.M.Hall) Soó,,Dactylorhiza x latirella
2cd4p9h.d2v,Dactylorhiza incarnata x traunsteinerioides = D. x dufftii,,,,Dactylorhiza x dufftii
2cd4p9h.6g2tx3,Dactylorhiza kerryensis,,(Wilmott) P.F.Hunt & Summerh.,,Dactylorhiza kerryensis
2cd4p9h.aqmv30,Dactylorhiza kerryensis x maculata = D. x dinglensis,,(Wilmott) Soó,,Dactylorhiza x dinglensis
2cd4p9h.sq,Dactylorhiza maculata,,(L.) Soó,Heath Spotted-orchid,Dactylorhiza maculata
2cd4p9h.7mm6d4,Dactylorhiza maculata x Gymnadenia borealis = X Dactylodenia evansii,,(Druce) Stace,,X Dactylodenia evansii
2cd4p9h.g7d,Dactylorhiza maculata x Gymnadenia conopsea = X Dactylodenia legrandiana,,(E.G.Camus) Peitz,,X Dactylodenia legrandiana
2cd4p9h.mft,Dactylorhiza maculata x praetermissa = D. x hallii,,(Druce) Soó,,Dactylorhiza x hallii
2cd4p9h.mz8,Dactylorhiza maculata x Pseudorchis albida = X Pseudorhiza bruniana,,(Brügger) P.F.Hunt,,X Pseudorhiza bruniana
2cd4p9h.2gv,Dactylorhiza maculata x purpurella = D. x formosa,,(T.Stephenson & T.A.Stephenson) Soó,,Dactylorhiza x formosa
2cd4p9h.azqetz,Dactylorhiza maculata x traunsteineri = D. x jenensis,,(Brand) Soó,,Dactylorhiza x jenensis
2cd4p9h.51c,Dactylorhiza praetermissa,,(Druce) Soó,Southern Marsh-orchid,Dactylorhiza praetermissa
2cd4p9h.g7g,Dactylorhiza praetermissa x Gymnadenia conopsea = X Dactylodenia wintoni,,(Druce) Peitz,,X Dactylodenia wintoni
2cd4p9h.95yz4m,Dactylorhiza praetermissa x Gymnadenia densiflora = X Dactylodenia ettlingeriana,,M.J.Clark & L.Lewis,,X Dactylodenia ettlingeriana
2cd4p9h.g80,Dactylorhiza praetermissa x purpurella = D. x insignis,,(T.Stephenson & T.A.Stephenson) Soó,,Dactylorhiza x insignis
2cd4p9h.d2x,Dactylorhiza praetermissa x traunsteinerioides,,,,Dactylorhiza praetermissa x traunsteinerioides
2cd4p9h.xhg,Dactylorhiza purpurella,,(T.Stephenson & T.A.Stephenson) Soó,Northern Marsh-orchid,Dactylorhiza purpurella
2cd4p9h.g7w,Dactylorhiza purpurella x Gymnadenia borealis = X Dactylodenia varia,,(T.Stephenson & T.A.Stephenson) Aver.,,X Dactylodenia varia
2cd4p9h.dqdyna,Dactylorhiza purpurella x Gymnadenia densiflora,,,,Dactylorhiza purpurella x Gymnadenia densiflora
2cd4p9h.6cp8z1,Dactylorhiza purpurella x kerryensis,,,,Dactylorhiza purpurella x kerryensis
2cd4p9h.7y8hz9,Dactylorhiza purpurella x traunsteinerioides,,,,Dactylorhiza purpurella x traunsteinerioides
2cd4p9h.310yff,Dactylorhiza traunsteinerioides,,(Pugsley) R.M.Bateman & Denholm,Narrow-leaved Marsh-orchid,Dactylorhiza traunsteinerioides
2cd4p9h.dqdynd,Dactylorhiza traunsteinerioides x Gymnadenia borealis,,,,Dactylorhiza traunsteinerioides x Gymnadenia borealis
2cd4p9h.ark,Dahlia pinnata,,Cav.,Dahlia,Dahlia pinnata
2cd4p9h.84gq6h,Dahlia x hortensis,,Guillaumin,Dahlia,Dahlia x hortensis
2cd4p9h.f7e,Damasonium alisma,,Mill.,Starfruit,Damasonium alisma
2cd4p9h.5mx,Danthonia decumbens,,(L.) DC.,Heath-grass,Danthonia decumbens
2cd4p9h.bte,Daphne laureola,,L.,Spurge-laurel,Daphne laureola
2cd4p9h.wbf,Daphne laureola x mezereum = D. x houtteana,,Lindl. & Paxton,Mezereon,Daphne x houtteana
2cd4p9h.vd2,Daphne mezereum,,L.,Mezereon,Daphne mezereum
2cd4p9h.2c4,Darmera peltata,,(Torr. ex Benth.) Voss ex Post & Kuntze,Indian-rhubarb,Darmera peltata
2cd4p9h.e8b,Datura ferox,,L.,Angel's-trumpets,Datura ferox
2cd4p9h.51v,Datura stramonium,,L.,Thorn-apple,Datura stramonium
2cd4p9h.k7f,Daucus carota,,L.,Carrot,Daucus carota
2cd4p9h.yw5,Daucus carota subsp. gummifer,,(Syme) Hook.f.,Sea Carrot,Daucus carota subsp. gummifer
2cd4p9h.396,Daucus carota subsp. sativus,,(Hoffm.) Arcang.,Carrot,Daucus carota subsp. sativus
2cd4p9h.n07,Delairea odorata,,Lem.,German-ivy,Delairea odorata
2cd4p9h.f7k,Deschampsia cespitosa,,(L.) P.Beauv.,Tufted Hair-grass,Deschampsia cespitosa
2cd4p9h.xhm,Deschampsia cespitosa subsp. alpina,,(L.) Hook.f.,Alpine Hair-grass,Deschampsia cespitosa subsp. alpina
2cd4p9h.tm,Deschampsia cespitosa subsp. parviflora,,(Thuill.) Dumort.,Small-flowered Hair-grass,Deschampsia cespitosa subsp. parviflora
2cd4p9h.f7n,Deschampsia flexuosa,,(L.) Trin.,Wavy Hair-grass,Deschampsia flexuosa
2cd4p9h.51r,Deschampsia setacea,,(Huds.) Hack.,Bog Hair-grass,Deschampsia setacea
2cd4p9h.8wc,Descurainia sophia,,(L.) Webb ex Prantl,Flixweed,Descurainia sophia
2cd4p9h.y7h,Deutzia scabra,,Thunb.,Deutzia,Deutzia scabra
2cd4p9h.vdb,Dianthus armeria,,L.,Deptford Pink,Dianthus armeria
2cd4p9h.8wv,Dianthus barbatus,,L.,Sweet-William,Dianthus barbatus
2cd4p9h.8wy,Dianthus caryophyllus,,L.,Clove Pink,Dianthus caryophyllus
2cd4p9h.kcw,Dianthus caryophyllus x plumarius,,,,Dianthus caryophyllus x plumarius
2cd4p9h.yw8,Dianthus deltoides,,L.,Maiden Pink,Dianthus deltoides
2cd4p9h.y8a,Dianthus gallicus,,Pers.,Jersey Pink,Dianthus gallicus
2cd4p9h.f7q,Dianthus gratianopolitanus,,Vill.,Cheddar Pink,Dianthus gratianopolitanus
2cd4p9h.e6p,Dianthus gratianopolitanus x caryophyllus,,,,Dianthus gratianopolitanus x caryophyllus
2cd4p9h.haz,Dianthus gratianopolitanus x caryophyllus x plumarius,,,,Dianthus gratianopolitanus x caryophyllus x plumarius
2cd4p9h.gqx,Dianthus gratianopolitanus x plumarius,,,,Dianthus gratianopolitanus x plumarius
2cd4p9h.vde,Dianthus plumarius,,L.,Pink,Dianthus plumarius
2cd4p9h.ywe,Diapensia lapponica,,L.,Diapensia,Diapensia lapponica
2cd4p9h.qm9,Dicentra eximia,,(Ker Gawl.) Torr.,Turkey-corn,Dicentra eximia
2cd4p9h.3np,Dicentra eximia x formosa,,,,Dicentra eximia x formosa
2cd4p9h.e0p,Dicentra formosa,,(Haw.) Walp.,Bleeding-heart,Dicentra formosa
2cd4p9h.4kr,Dicksonia antarctica,,Labill.,Australian Tree-fern,Dicksonia antarctica
2cd4p9h.h46,Digitalis lutea,,L.,Straw Foxglove,Digitalis lutea
2cd4p9h.ywh,Digitalis purpurea,,L.,Foxglove,Digitalis purpurea
2cd4p9h.wwm,Digitaria ciliaris,,(Retz.) Koeler,Tropical Finger-grass,Digitaria ciliaris
2cd4p9h.ewc,Digitaria ischaemum,,(Schreb. ex Schweigg.) Muhl.,Smooth Finger-grass,Digitaria ischaemum
2cd4p9h.8wz,Digitaria sanguinalis,,(L.) Scop.,Hairy Finger-grass,Digitaria sanguinalis
2cd4p9h.x6r,Diphasiastrum alpinum,,(L.) Holub,Alpine Clubmoss,Diphasiastrum alpinum
2cd4p9h.c9,Diphasiastrum complanatum,,(L.) Holub,Issler's Clubmoss,Diphasiastrum complanatum
2cd4p9h.hee5rd,Diphasiastrum tristachyum,,(Pursh) Holub,Cypress Clubmoss,Diphasiastrum tristachyum
2cd4p9h.ts,Diplotaxis erucoides,,(L.) DC.,White Rocket,Diplotaxis erucoides
2cd4p9h.ywk,Diplotaxis muralis,,(L.) DC.,Annual Wall-rocket,Diplotaxis muralis
2cd4p9h.8k2,Diplotaxis tenuifolia,,(L.) DC.,Perennial Wall-rocket,Diplotaxis tenuifolia
2cd4p9h.vdh,Dipsacus fullonum,,L.,Wild Teasel,Dipsacus fullonum
2cd4p9h.bgc,Dipsacus fullonum x laciniatus = D. x pseudosilvester,,Schur,,Dipsacus x pseudosilvester
2cd4p9h.6dq,Dipsacus fullonum x sativus,,,,Dipsacus fullonum x sativus
2cd4p9h.9rr,Dipsacus laciniatus,,L.,Cut-leaved Teasel,Dipsacus laciniatus
2cd4p9h.vdk,Dipsacus pilosus,,L.,Small Teasel,Dipsacus pilosus
2cd4p9h.b79,Dipsacus sativus,,(L.) Honck.,Fuller's Teasel,Dipsacus sativus
2cd4p9h.2bq,Dipsacus strigosus,,Willd.,Yellow-flowered Teasel,Dipsacus strigosus
2cd4p9h.9f3,Disphyma crassifolium,,(L.) L.Bolus,Purple Dewplant,Disphyma crassifolium
2cd4p9h.vwq,Dittrichia graveolens,,(L.) Greuter,Stinking Fleabane,Dittrichia graveolens
2cd4p9h.8qh,Dittrichia viscosa,,(L.) Greuter,Woody Fleabane,Dittrichia viscosa
2cd4p9h.h49,Doronicum columnae,,Ten.,Eastern Leopard's-bane,Doronicum columnae
2cd4p9h.8k8,Doronicum columnae x pardalianches x plantagineum = D. x excelsum,,(N.E.Br.) Stace,Harpur-Crewe's Leopard's-bane,Doronicum x excelsum
2cd4p9h.8k5,Doronicum pardalianches,,L.,Leopard's-bane,Doronicum pardalianches
2cd4p9h.xhs,Doronicum pardalianches x plantagineum = D. x willdenowii,,(Rouy) A.W.Hill,,Doronicum x willdenowii
2cd4p9h.525,Doronicum plantagineum,,L.,Plantain-leaved Leopard's-bane,Doronicum plantagineum
2cd4p9h.f7t,Draba aizoides,,L.,Yellow Whitlowgrass,Draba aizoides
2cd4p9h.vdn,Draba incana,,L.,Hoary Whitlowgrass,Draba incana
2cd4p9h.52b,Draba muralis,,L.,Wall Whitlowgrass,Draba muralis
2cd4p9h.xv0,Draba norvegica,,Gunnerus,Rock Whitlowgrass,Draba norvegica
2cd4p9h.wsp,Dracocephalum parviflorum,,Nutt.,American Dragon-head,Dracocephalum parviflorum
2cd4p9h.e10,Dracunculus vulgaris,,Schott,Dragon Arum,Dracunculus vulgaris
2cd4p9h.m98,Drosanthemum floribundum,,(Haw.) Schwantes,Pale Dewplant,Drosanthemum floribundum
2cd4p9h.f81,Drosera anglica,,Huds.,Great Sundew,Drosera anglica
2cd4p9h.vdq,Drosera anglica x rotundifolia = D. x obovata,,Mert. & W.D.J.Koch,Hybrid Sundew,Drosera x obovata
2cd4p9h.xv3,Drosera intermedia,,Hayne,Oblong-leaved Sundew,Drosera intermedia
2cd4p9h.2d9,Drosera intermedia x rotundifolia = D. x belezeana,,E.G.Camus,Sundew,Drosera x belezeana
2cd4p9h.z3,Drosera rotundifolia,,L.,Round-leaved Sundew,Drosera rotundifolia
2cd4p9h.8ke,Dryas octopetala,,L.,Mountain Avens,Dryas octopetala
2cd4p9h.ba,Dryopteris aemula,,(Aiton) Kuntze,Hay-scented Buckler-fern,Dryopteris aemula
2cd4p9h.x7q,Dryopteris aemula x oreades = D. x pseudoabbreviata,,Jermy,,Dryopteris x pseudoabbreviata
2cd4p9h.7q9113,Dryopteris affinis,agg.,,,Dryopteris affinis
2cd4p9h.4x2,Dryopteris affinis agg. x filix-mas = D. x complexa,agg.,,,Dryopteris x complexa
2cd4p9h.3hkwve,Dryopteris affinis x oreades,,,,Dryopteris affinis x oreades
2cd4p9h.3hkwvh,Dryopteris borreri x oreades,,,,Dryopteris borreri x oreades
2cd4p9h.v42,Dryopteris carthusiana,,(Vill.) H.P.Fuchs,Narrow Buckler-fern,Dryopteris carthusiana
2cd4p9h.4x5,Dryopteris carthusiana x cristata = D. x uliginosa,,(A.Braun ex Döll) Kuntze ex Druce,,Dryopteris x uliginosa
2cd4p9h.v4t,Dryopteris carthusiana x dilatata = D. x deweveri,,(J.T.Jansen) Jansen & Wacht.,,Dryopteris x deweveri
2cd4p9h.4kz,Dryopteris carthusiana x expansa = D. x sarvelae,,Fraser-Jenk. & Jermy,,Dryopteris x sarvelae
2cd4p9h.bw6,Dryopteris carthusiana x filix-mas = D. x brathaica,,Fraser-Jenk. & Reichst.,,Dryopteris x brathaica
2cd4p9h.bht,Dryopteris cristata,,(L.) A.Gray,Crested Buckler-fern,Dryopteris cristata
2cd4p9h.bhn,Dryopteris dilatata,,(Hoffm.) A.Gray,Broad Buckler-fern,Dryopteris dilatata
2cd4p9h.88k,Dryopteris dilatata x expansa = D. x ambroseae,,Fraser-Jenk. & Jermy,,Dryopteris x ambroseae
2cd4p9h.et2,Dryopteris expansa,,(C.Presl) Fraser-Jenk. & Jermy,Northern Buckler-fern,Dryopteris expansa
2cd4p9h.bv1,Dryopteris filix-mas,,(L.) Schott,Male-fern,Dryopteris filix-mas
2cd4p9h.bhb,Dryopteris filix-mas x oreades = D. x mantoniae,,Fraser-Jenk. & Corley,,Dryopteris x mantoniae
2cd4p9h.ers,Dryopteris oreades,,Fomin,Mountain Male-fern,Dryopteris oreades
2cd4p9h.bvm,Dryopteris remota,,(A.Braun ex Döll) Druce,Scaly Buckler-fern,Dryopteris remota
2cd4p9h.4ws,Dryopteris submontana,,(Fraser-Jenk. & Jermy) Fraser-Jenk.,Rigid Buckler-fern,Dryopteris submontana
2cd4p9h.83ng4w,Dysphania ambrosioides,,(L.) Mosyakin & Clemants,Mexican-tea,Dysphania ambrosioides
2cd4p9h.95ysfh,Dysphania botrys,,(L.) Mosyakin & Clemants,Sticky Goosefoot,Dysphania botrys
2cd4p9h.83ng45,Dysphania carinata x cristata = D. x bontei,,(Aellen) Stace,,Dysphania x bontei
2cd4p9h.7z5,Ecballium elaterium,,(L.) A.Rich.,Squirting Cucumber,Ecballium elaterium
2cd4p9h.6cc,Echinochloa colona,,(L.) Link,Shama Millet,Echinochloa colona
2cd4p9h.vdt,Echinochloa crus-galli,,(L.) P.Beauv.,Cockspur,Echinochloa crus-galli
2cd4p9h.pn9,Echinochloa esculenta,,(A.Braun) H.Scholz,Japanese Millet,Echinochloa esculenta
2cd4p9h.2kq,Echinochloa frumentacea,,Link,White Millet,Echinochloa frumentacea
2cd4p9h.kcm,Echinops bannaticus,,Rochel ex Schrad.,Blue Globe-thistle,Echinops bannaticus
2cd4p9h.7ag,Echinops exaltatus,,Schrad.,Globe-thistle,Echinops exaltatus
2cd4p9h.wzk,Echinops sphaerocephalus,,L.,Glandular Globe-thistle,Echinops sphaerocephalus
2cd4p9h.kcp,Echium pininana,,Webb & Berthel.,Giant Viper's-bugloss,Echium pininana
2cd4p9h.52e,Echium plantagineum,,L.,Purple Viper's-bugloss,Echium plantagineum
2cd4p9h.h4c,Echium rosulatum,,Lange,Lax Viper's-bugloss,Echium rosulatum
2cd4p9h.ywn,Echium vulgare,,L.,Viper's-bugloss,Echium vulgare
2cd4p9h.egz,Egeria densa,,Planch.,Large-flowered Waterweed,Egeria densa
2cd4p9h.nz4,Ehrharta erecta,,Lam.,,Ehrharta erecta
2cd4p9h.ahr,Elaeagnus commutata,,Bernh.,Silver-berry,Elaeagnus commutata
2cd4p9h.6dt,Elaeagnus macrophylla,,Thunb.,Broad-leaved Oleaster,Elaeagnus macrophylla
2cd4p9h.2th,Elaeagnus macrophylla x pungens = E. x submacrophylla,,Servett.,Ebbinge's Oleaster,Elaeagnus x submacrophylla
2cd4p9h.bg0,Elaeagnus pungens,,Thunb.,Spiny Oleaster,Elaeagnus pungens
2cd4p9h.e13,Elaeagnus umbellata,,Thunb.,Spreading Oleaster,Elaeagnus umbellata
2cd4p9h.f87,Elatine hexandra,,(Lapierre) DC.,Six-stamened Waterwort,Elatine hexandra
2cd4p9h.ywq,Elatine hydropiper,,L.,Eight-stamened Waterwort,Elatine hydropiper
2cd4p9h.f8a,Eleocharis acicularis,,(L.) Roem. & Schult.,Needle Spike-rush,Eleocharis acicularis
2cd4p9h.9dh,Eleocharis mamillata subsp. austriaca,,(Hayek) Strandh.,Northern Spike-rush,Eleocharis mamillata subsp. austriaca
2cd4p9h.8kh,Eleocharis multicaulis,,(Sm.) Desv.,Many-stalked Spike-rush,Eleocharis multicaulis
2cd4p9h.xv6,Eleocharis palustris,,(L.) Roem. & Schult.,Common Spike-rush,Eleocharis palustris
2cd4p9h.4hy,Eleocharis palustris subsp. palustris,,(L.) Roem. & Schult.,,Eleocharis palustris subsp. palustris
2cd4p9h.b3a,Eleocharis palustris subsp. palustris x subsp. vulgaris,,,,Eleocharis palustris subsp. palustris x subsp. vulgaris
2cd4p9h.e16,Eleocharis palustris x uniglumis,,,Spike-Rush,Eleocharis palustris x uniglumis
2cd4p9h.btq,Eleocharis parvula,,"(Roem. & Schult.) Link ex Bluff, Nees & Schauer",Dwarf Spike-rush,Eleocharis parvula
2cd4p9h.52h,Eleocharis quinqueflora,,(Hartmann) O.Schwarz,Few-flowered Spike-rush,Eleocharis quinqueflora
2cd4p9h.ywt,Eleocharis uniglumis,,(Link) Schult.,Slender Spike-rush,Eleocharis uniglumis
2cd4p9h.ve7,Eleogiton fluitans,,(L.) Link,Floating Club-rush,Eleogiton fluitans
2cd4p9h.pmm,Eleusine indica,,(L.) Gaertn.,Yard-grass,Eleusine indica
2cd4p9h.mkf,Eleusine indica subsp. africana,,(Kenn.-O'Byrne) S.M.Phillips,,Eleusine indica subsp. africana
2cd4p9h.bz1,Elodea callitrichoides,,(Rich.) Casp.,South American Waterweed,Elodea callitrichoides
2cd4p9h.vea,Elodea canadensis,,Michx.,Canadian Waterweed,Elodea canadensis
2cd4p9h.xmq,Elodea nuttallii,,(Planch.) H.St.John,Nuttall's Waterweed,Elodea nuttallii
2cd4p9h.nbq,Elymus caninus,,(L.) L.,Bearded Couch,Elymus caninus
2cd4p9h.v66,Elytrigia atherica,,(Link) Kerguélen,Sea Couch,Elytrigia atherica
2cd4p9h.1svp21,Elytrigia atherica x juncea subsp. boreoatlantica = Elytrigia x acuta nothosubsp. obtusiuscula,,(Lange) Kerguélen,,Elytrigia x acuta nothosubsp. obtusiuscula
2cd4p9h.g8y,Elytrigia atherica x repens = E. x drucei,,Stace,,Elytrigia x drucei
2cd4p9h.4m1,Elytrigia juncea,,(L.) Nevski,Sand Couch,Elytrigia juncea
2cd4p9h.4m4,Elytrigia juncea x repens = E. x laxa,,(Fr.) Kerguélen,,Elytrigia x laxa
2cd4p9h.x8d,Elytrigia repens,,(L.) Desv. ex Nevski,Common Couch,Elytrigia repens
2cd4p9h.9xv,Elytrigia repens x Hordeum secalinum = X Elytrordeum langei,,(K.Richt.) Hyl.,,X Elytrordeum langei
2cd4p9h.veg,Empetrum nigrum,,L.,Crowberry,Empetrum nigrum
2cd4p9h.yk1,Empetrum nigrum subsp. hermaphroditum,,(Hagerup) Böcher,Mountain Crowberry,Empetrum nigrum subsp. hermaphroditum
2cd4p9h.yk4,Epilobium alsinifolium,,Vill.,Chickweed Willowherb,Epilobium alsinifolium
2cd4p9h.2fa,Epilobium alsinifolium x anagallidifolium = E. x boissieri,,Hausskn.,,Epilobium x boissieri
2cd4p9h.2en,Epilobium alsinifolium x montanum = E. x facchinii,,Hausm.,,Epilobium x facchinii
2cd4p9h.9k4,Epilobium alsinifolium x obscurum = E. x rivulicola,,Hausskn.,,Epilobium x rivulicola
2cd4p9h.g6h,Epilobium alsinifolium x palustre = E. x haynaldianum,,Hausskn.,,Epilobium x haynaldianum
2cd4p9h.yk7,Epilobium anagallidifolium,,Lam.,Alpine Willowherb,Epilobium anagallidifolium
2cd4p9h.9k1,Epilobium anagallidifolium x obscurum = E. x marshallianum,,Hausskn.,,Epilobium x marshallianum
2cd4p9h.wcn,Epilobium anagallidifolium x palustre = E. x dasycarpum,,Fr.,,Epilobium x dasycarpum
2cd4p9h.cyyrnk,Epilobium brachycarpum,,C.Presl,Panicled Willowherb,Epilobium brachycarpum
2cd4p9h.52n,Epilobium brunnescens,,(Cockayne) P.H.Raven & Engelhorn,New Zealand Willowherb,Epilobium brunnescens
2cd4p9h.x48,Epilobium brunnescens x lanceolatum = E. x cornubiense,,Kitchener & McKean,,Epilobium x cornubiense
2cd4p9h.6e1,Epilobium brunnescens x palustre = E. x chateri,,Kitchener & McKean,,Epilobium x chateri
2cd4p9h.qr4,Epilobium brunnescens x parviflorum = E. x argillaceum,,Kitchener,,Epilobium x argillaceum
2cd4p9h.bzd,Epilobium ciliatum,,Raf.,American Willowherb,Epilobium ciliatum
2cd4p9h.n28,Epilobium ciliatum x brunnescens = E. x brunnatum,,Kitchener & McKean,,Epilobium x brunnatum
2cd4p9h.9wk,Epilobium ciliatum x hirsutum = E. x novae-civitatis,,Smejkal,,Epilobium x novae-civitatis
2cd4p9h.2ek,Epilobium ciliatum x montanum = E. x interjectum,,Smejkal,,Epilobium x interjectum
2cd4p9h.phf,Epilobium ciliatum x obscurum = E. x vicinum,,Smejkal,,Epilobium x vicinum
2cd4p9h.65d,Epilobium ciliatum x palustre = E. x fossicola,,Smejkal,,Epilobium x fossicola
2cd4p9h.vep,Epilobium hirsutum,,L.,Great Willowherb,Epilobium hirsutum
2cd4p9h.wce,Epilobium hirsutum x montanum = E. x erroneum,,Hausskn.,,Epilobium x erroneum
2cd4p9h.3hkk5d,Epilobium hirsutum x obscurum = E. x anglicum,,E.S.Marshall,,Epilobium x anglicum
2cd4p9h.d17,Epilobium hirsutum x palustre = E. x waterfallii,,E.S.Marshall,,Epilobium x waterfallii
2cd4p9h.657,Epilobium hirsutum x parviflorum = E. x subhirsutum,,Gennari,,Epilobium x subhirsutum
2cd4p9h.d14,Epilobium hirsutum x roseum = E. x goerzii,,Rubner,,Epilobium x goerzii
2cd4p9h.ph3,Epilobium hirsutum x tetragonum = E. x brevipilum,,Hausskn.,,Epilobium x brevipilum
2cd4p9h.2bt,Epilobium komarovianum,,H.Lév.,Bronzy Willowherb,Epilobium komarovianum
2cd4p9h.yka,Epilobium lanceolatum,,Sebast. & Mauri,Spear-leaved Willowherb,Epilobium lanceolatum
2cd4p9h.g6e,Epilobium lanceolatum x ciliatum,,,,Epilobium lanceolatum x ciliatum
2cd4p9h.ph9,Epilobium lanceolatum x montanum = E. x neogradense,,Borbás,,Epilobium x neogradense
2cd4p9h.2eq,Epilobium lanceolatum x obscurum = E. x lamotteanum,,Hausskn.,,Epilobium x lamotteanum
2cd4p9h.65a,Epilobium lanceolatum x parviflorum = E. x aschersonianum,,Hausskn.,,Epilobium x aschersonianum
2cd4p9h.d1d,Epilobium lanceolatum x roseum = E. x abortivum,,Hausskn.,,Epilobium x abortivum
2cd4p9h.eg0,Epilobium lanceolatum x tetragonum = E. x fallacinum,,Hausskn.,,Epilobium x fallacinum
2cd4p9h.ves,Epilobium montanum,,L.,Broad-leaved Willowherb,Epilobium montanum
2cd4p9h.dwg,Epilobium montanum x brunnescens = E. x confusilobum,,Kitchener & McKean,,Epilobium x confusilobum
2cd4p9h.d1a,Epilobium montanum x obscurum = E. x aggregatum,,Čelak.,,Epilobium x aggregatum
2cd4p9h.7n9,Epilobium montanum x palustre = E. x montaniforme,,Knaf ex Čelak.,,Epilobium x montaniforme
2cd4p9h.wch,Epilobium montanum x parviflorum = E. x limosum,,Schur,,Epilobium x limosum
2cd4p9h.7n0,Epilobium montanum x pedunculare = E. x kitcheneri,,McKean,,Epilobium x kitcheneri
2cd4p9h.84gq60,Epilobium montanum x roseum = E. x heterocaule,,Borbás,,Epilobium x heterocaule
2cd4p9h.g6b,Epilobium montanum x tetragonum = E. x haussknechtianum,,Borbás,,Epilobium x haussknechtianum
2cd4p9h.bzm,Epilobium obscurum,,Schreb.,Short-fruited Willowherb,Epilobium obscurum
2cd4p9h.d8z,Epilobium obscurum x brunnescens = E. x obscurescens,,Kitchener & McKean,,Epilobium x obscurescens
2cd4p9h.phx,Epilobium obscurum x palustre = E. x schmidtianum,,Rostk.,,Epilobium x schmidtianum
2cd4p9h.mf2,Epilobium obscurum x parviflorum = E. x dacicum,,Borbás,,Epilobium x dacicum
2cd4p9h.2f1,Epilobium obscurum x roseum = E. x brachiatum,,Čelak.,,Epilobium x brachiatum
2cd4p9h.phv,Epilobium obscurum x tetragonum = E. x semiobscurum,,Borbás,,Epilobium x semiobscurum
2cd4p9h.52k,Epilobium palustre,,L.,Marsh Willowherb,Epilobium palustre
2cd4p9h.9wq,Epilobium palustre x parviflorum = E. x rivulare,,Wahlenb.,,Epilobium x rivulare
2cd4p9h.phc,Epilobium palustre x roseum = E. x purpureum,,Fr.,,Epilobium x purpureum
2cd4p9h.wck,Epilobium palustre x tetragonum = E. x laschianum,,Hausskn.,,Epilobium x laschianum
2cd4p9h.zf,Epilobium parviflorum,,Schreb.,Hoary Willowherb,Epilobium parviflorum
2cd4p9h.mez,Epilobium parviflorum x ciliatum = E. x floridulum,,Smejkal,,Epilobium x floridulum
2cd4p9h.ph6,Epilobium parviflorum x roseum = E. x persicinum,,Rchb.,,Epilobium x persicinum
2cd4p9h.9wn,Epilobium parviflorum x tetragonum = E. x palatinum,,F.W.Schultz,,Epilobium x palatinum
2cd4p9h.was,Epilobium pedunculare,,A.Cunn.,Rockery Willowherb,Epilobium pedunculare
2cd4p9h.xv9,Epilobium roseum,,Schreb.,Pale Willowherb,Epilobium roseum
2cd4p9h.9wt,Epilobium roseum x ciliatum = E. x nutantiflorum,,Smejkal,,Epilobium x nutantiflorum
2cd4p9h.2et,Epilobium roseum x tetragonum = E. x borbasianum,,Hausskn.,,Epilobium x borbasianum
2cd4p9h.7aw,Epilobium tetragonum,,L.,Square-stalked Willowherb,Epilobium tetragonum
2cd4p9h.3hkk8w,Epilobium tetragonum subsp. tournefortii,,(Michalet) H.Lév.,,Epilobium tetragonum subsp. tournefortii
2cd4p9h.mf5,Epilobium tetragonum x ciliatum = E. x mentiens,,Smejkal,,Epilobium x mentiens
2cd4p9h.f8d,Epimedium alpinum,,L.,Barren-wort,Epimedium alpinum
2cd4p9h.ykd,Epipactis atrorubens,,(Hoffm.) Besser,Dark-red Helleborine,Epipactis atrorubens
2cd4p9h.44d,Epipactis atrorubens x helleborine = E. x schmalhausenii,,K.Richt.,,Epipactis x schmalhausenii
2cd4p9h.62r808,Epipactis dunensis,,(T.Stephenson & T.A.Stephenson) Godfery,Dune Helleborine,Epipactis dunensis
2cd4p9h.52q,Epipactis helleborine,,(L.) Crantz,Broad-leaved Helleborine,Epipactis helleborine
2cd4p9h.95yz48,Epipactis helleborine x leptochila = E. x stephensonii,,Godfery,,Epipactis x stephensonii
