ddb id,taxon name,qualifier,authority,vernacular,canonical
2cd4p9h.3yy,Ageratum houstonianum,,Mill.,Flossflower,Ageratum houstonianum
2cd4p9h.bwy,Agrimonia eupatoria,,L.,Agrimony,Agrimonia eupatoria
2cd4p9h.g5v,Agrimonia eupatoria x procera = A. x wirtgenii,,Asch. & Graebn.,,Agrimonia x wirtgenii
2cd4p9h.894,Agrimonia procera,,Wallr.,Fragrant Agrimony,Agrimonia procera
2cd4p9h.x8w,Agrostemma githago,,L.,Corncockle,Agrostemma githago
2cd4p9h.4m7,Agrostis canina,s.s.,L.,Velvet Bent,Agrostis canina
2cd4p9h.x8p,Agrostis capillaris,,L.,Common Bent,Agrostis capillaris
2cd4p9h.95ys6p,Agrostis capillaris x canina,,,,Agrostis capillaris x canina
2cd4p9h.h2h,Agrostis capillaris x castellana = A. x fouilladeana,,Lambinon & Verloove,,Agrostis x fouilladeana
2cd4p9h.g8z,Agrostis capillaris x gigantea = A. x bjoerkmanii,,Widén,,Agrostis x bjoerkmanii
2cd4p9h.9xx,Agrostis capillaris x stolonifera = A. x murbeckii,,Fouill.,,Agrostis x murbeckii
2cd4p9h.g8r,Agrostis capillaris x vinealis,,,,Agrostis capillaris x vinealis
2cd4p9h.dtx,Agrostis castellana,,Boiss. & Reut.,Highland Bent,Agrostis castellana
2cd4p9h.4md,Agrostis curtisii,,Kerguélen,Bristle Bent,Agrostis curtisii
2cd4p9h.4ma,Agrostis gigantea,,Roth,Black Bent,Agrostis gigantea
2cd4p9h.we0,Agrostis gigantea x stolonifera,,,,Agrostis gigantea x stolonifera
2cd4p9h.ga7,Agrostis lachnantha,,Nees,African Bent,Agrostis lachnantha
2cd4p9h.31n,Agrostis scabra,,Willd.,Rough Bent,Agrostis scabra
2cd4p9h.bwz,Agrostis stolonifera,,L.,Creeping Bent,Agrostis stolonifera
2cd4p9h.x8a,Agrostis stolonifera x Polypogon monspeliensis = X Agropogon lutosus,,(Poir.) P.Fourn.,Perennial Beard-grass,X Agropogon lutosus
2cd4p9h.qvd,Agrostis stolonifera x Polypogon viridis = X Agropogon robinsonii,,(Druce) Melderis & D.C.McClint.,,X Agropogon robinsonii
2cd4p9h.qc1,Agrostis stolonifera x vinealis,,,,Agrostis stolonifera x vinealis
2cd4p9h.x8m,Agrostis vinealis,,Schreb.,Brown Bent,Agrostis vinealis
2cd4p9h.a86,Ailanthus altissima,,(Mill.) Swingle,Tree-of-heaven,Ailanthus altissima
2cd4p9h.ez1,Aira caryophyllea,,L.,Silver Hair-grass,Aira caryophyllea
2cd4p9h.f0,Aira praecox,,L.,Early Hair-grass,Aira praecox
2cd4p9h.yb4,Ajuga chamaepitys,,(L.) Schreb.,Ground-pine,Ajuga chamaepitys
2cd4p9h.v69,Ajuga pyramidalis,,L.,Pyramidal Bugle,Ajuga pyramidalis
2cd4p9h.2fs,Ajuga pyramidalis x reptans = A. x pseudopyramidalis,,Schur,Hybrid Bugle,Ajuga x pseudopyramidalis
2cd4p9h.ez4,Ajuga reptans,,L.,Bugle,Ajuga reptans
2cd4p9h.x9y,Alcea rosea,,L.,Hollyhock,Alcea rosea
2cd4p9h.nqq,Alchemilla acutiloba,,Opiz,Starry Lady's-mantle,Alchemilla acutiloba
2cd4p9h.x8s,Alchemilla alpina,,L.,Alpine Lady's-mantle,Alchemilla alpina
2cd4p9h.f6,Alchemilla conjuncta,,Bab.,Silver Lady's-mantle,Alchemilla conjuncta
2cd4p9h.x93,Alchemilla filicaulis subsp. filicaulis,,Buser,Slender Lady's-mantle,Alchemilla filicaulis subsp. filicaulis
2cd4p9h.yb7,Alchemilla filicaulis subsp. vestita,,(Buser) M.E.Bradshaw,Hairy Lady's-mantle,Alchemilla filicaulis subsp. vestita
2cd4p9h.89d,Alchemilla glabra,,Neygenf.,Smooth Lady's-mantle,Alchemilla glabra
2cd4p9h.ez7,Alchemilla glaucescens,,Wallr.,Silky Lady's-mantle,Alchemilla glaucescens
2cd4p9h.v6c,Alchemilla glomerulans,,Buser,Clustered Lady's-mantle,Alchemilla glomerulans
2cd4p9h.b76,Alchemilla micans,,Buser,Shining Lady's-mantle,Alchemilla micans
2cd4p9h.f9,Alchemilla minima,,Walters,Least Lady's-mantle,Alchemilla minima
2cd4p9h.9db,Alchemilla mollis,,(Buser) Rothm.,Garden Lady's-mantle,Alchemilla mollis
2cd4p9h.bk2,Alchemilla monticola,,Opiz,Velvet Lady's-mantle,Alchemilla monticola
2cd4p9h.89g,Alchemilla subcrenata,,Buser,Large-toothed Lady's-mantle,Alchemilla subcrenata
2cd4p9h.5s9,Alchemilla tytthantha,,Juz.,Crimean Lady's-mantle,Alchemilla tytthantha
2cd4p9h.89w,Alchemilla wichurae,,(Buser) Stefánsson,Rock Lady's-mantle,Alchemilla wichurae
2cd4p9h.89m,Alchemilla xanthochlora,,Rothm.,Intermediate Lady's-mantle,Alchemilla xanthochlora
2cd4p9h.eqe,Alisma gramineum,,Lej.,Ribbon-leaved Water-plantain,Alisma gramineum
2cd4p9h.4mp,Alisma lanceolatum,,With.,Narrow-leaved Water-plantain,Alisma lanceolatum
2cd4p9h.9kp,Alisma lanceolatum x plantago-aquatica = A. x rhicnocarpum,,Schotsman,,Alisma x rhicnocarpum
2cd4p9h.4ms,Alisma plantago-aquatica,,L.,Water-plantain,Alisma plantago-aquatica
2cd4p9h.ybd,Alliaria petiolata,,(M.Bieb.) Cavara & Grande,Garlic Mustard,Alliaria petiolata
2cd4p9h.kxp,Allium ampeloprasum,,L.,Wild Leek,Allium ampeloprasum
2cd4p9h.x96,Allium carinatum,,L.,Keeled Garlic,Allium carinatum
2cd4p9h.kn2,Allium cepa,,L.,Onion,Allium cepa
2cd4p9h.ncm,Allium moly,,L.,Yellow Garlic,Allium moly
2cd4p9h.dvh,Allium neapolitanum,,Cirillo,Neapolitan Garlic,Allium neapolitanum
2cd4p9h.ncp,Allium nigrum,,L.,Broad-leaved Leek,Allium nigrum
2cd4p9h.ezg,Allium oleraceum,,L.,Field Garlic,Allium oleraceum
2cd4p9h.v6f,Allium paradoxum,,(M.Bieb.) G.Don,Few-flowered Garlic,Allium paradoxum
2cd4p9h.qc4,Allium pendulinum,,Ten.,Italian Garlic,Allium pendulinum
2cd4p9h.kn5,Allium porrum,,L.,Leek,Allium porrum
2cd4p9h.ff,Allium roseum,,L.,Rosy Garlic,Allium roseum
