GridRef,Lat,Lon
V29,52.079757,-10.553504
Q20,52.169536,-10.558644
V36,51.813448,-10.393387
V37,51.903242,-10.398158
V39,52.082825,-10.407775
Q30,52.172614,-10.412622
Q31,52.262401,-10.417493
V43,51.546889,-10.235192
V44,51.636697,-10.239606
V45,51.726503,-10.244042
V46,51.816308,-10.248501
V47,51.906111,-10.252984
V48,51.995913,-10.257490
V49,52.085713,-10.262020
Q40,52.175511,-10.266574
Q41,52.265307,-10.271152
L46,53.612056,-10.342807
V53,51.549545,-10.091140
V54,51.639361,-10.095269
V55,51.729176,-10.099420
V56,51.818990,-10.103593
V57,51.908802,-10.107787
V58,51.998612,-10.112003
V59,52.088420,-10.116242
Q50,52.178227,-10.120503
Q51,52.268033,-10.124786
L54,53.435354,-10.182578
L55,53.525136,-10.187192
L56,53.614917,-10.191831
L57,53.704696,-10.196495
F50,53.974024,-10.210640
F51,54.063797,-10.215406
F52,54.153568,-10.220198
V64,51.641849,-9.950911
V65,51.731672,-9.954777
V66,51.821493,-9.958662
V67,51.911313,-9.962568
V68,52.001131,-9.966494
V69,52.090948,-9.970441
Q60,52.180763,-9.974409
Q61,52.270577,-9.978397
Q62,52.360388,-9.982407
Q63,52.450199,-9.986437
Q64,52.540007,-9.990489
L63,53.348214,-10.027941
L64,53.438007,-10.032214
L65,53.527798,-10.036511
L66,53.617588,-10.040831
L67,53.707376,-10.045174
L68,53.797162,-10.049541
L69,53.886947,-10.053931
F60,53.976730,-10.058346
F61,54.066511,-10.062784
F62,54.156291,-10.067247
F63,54.246070,-10.071734
F64,54.335847,-10.076246
V72,51.464493,-9.799430
V73,51.554327,-9.802972
V74,51.644159,-9.806533
V75,51.733989,-9.810113
V76,51.823818,-9.813711
V77,51.913646,-9.817328
V78,52.003471,-9.820965
V79,52.093295,-9.824620
Q70,52.183118,-9.828294
Q71,52.272939,-9.831988
Q72,52.362759,-9.835701
Q73,52.452577,-9.839433
Q74,52.542393,-9.843186
Q75,52.632208,-9.846958
L71,53.171064,-9.870017
L72,53.260868,-9.873933
L73,53.350670,-9.877869
L74,53.440471,-9.881827
L75,53.530270,-9.885806
L76,53.620068,-9.889807
L77,53.709864,-9.893829
L78,53.799658,-9.897873
L79,53.889451,-9.901939
F70,53.979243,-9.906027
F71,54.069033,-9.910138
F72,54.158821,-9.914271
F73,54.248608,-9.918426
F74,54.338393,-9.922605
V82,51.466612,-9.655600
V83,51.556453,-9.658860
V84,51.646291,-9.662137
V85,51.736129,-9.665431
V86,51.825964,-9.668742
V87,51.915799,-9.672070
V88,52.005631,-9.675416
V89,52.095463,-9.678779
Q80,52.185292,-9.682160
Q81,52.275120,-9.685559
Q82,52.364947,-9.688975
Q83,52.454772,-9.692410
Q84,52.544595,-9.695863
Q85,52.634417,-9.699334
Q86,52.724238,-9.702823
L80,53.083504,-9.716968
L81,53.173317,-9.720552
L82,53.263128,-9.724155
L83,53.352938,-9.727777
L84,53.442746,-9.731419
L85,53.532552,-9.735080
L86,53.622357,-9.738761
L87,53.712161,-9.742462
L88,53.801963,-9.746183
L89,53.891764,-9.749925
F80,53.981563,-9.753687
F81,54.071360,-9.757469
F82,54.161156,-9.761272
F83,54.250950,-9.765096
F84,54.340743,-9.768941
V92,51.468555,-9.511754
V93,51.558402,-9.514731
V94,51.648247,-9.517723
V95,51.738090,-9.520731
V96,51.827932,-9.523755
V97,51.917773,-9.526794
V98,52.007612,-9.529849
V99,52.097449,-9.532921
Q90,52.187285,-9.536008
Q91,52.277120,-9.539112
Q92,52.366953,-9.542232
Q93,52.456784,-9.545368
Q94,52.546614,-9.548521
Q95,52.636443,-9.551691
Q96,52.726270,-9.554878
Q97,52.816095,-9.558081
L90,53.085562,-9.567795
L92,53.265200,-9.574357
L93,53.355016,-9.577665
L94,53.444831,-9.580991
L95,53.534645,-9.584334
L96,53.624457,-9.587696
L97,53.714267,-9.591076
L98,53.804076,-9.594474
L99,53.893883,-9.597890
F90,53.983689,-9.601326
F91,54.073494,-9.604780
F92,54.163297,-9.608252
F93,54.253098,-9.611744
F94,54.342898,-9.615255
W02,51.470321,-9.367893
W03,51.560173,-9.370587
W04,51.650024,-9.373294
W05,51.739873,-9.376016
W06,51.829721,-9.378752
W07,51.919567,-9.381502
W08,52.009412,-9.384267
W09,52.099255,-9.387046
R00,52.189097,-9.389840
R01,52.278938,-9.392648
R02,52.368776,-9.395472
R03,52.458614,-9.398310
R04,52.548450,-9.401163
R05,52.638284,-9.404031
R06,52.728117,-9.406915
R07,52.817949,-9.409814
R08,52.907779,-9.412728
R09,52.997607,-9.415658
M00,53.087434,-9.418603
M02,53.267084,-9.424542
M03,53.356906,-9.427535
M04,53.446727,-9.430544
M05,53.536547,-9.433570
M06,53.626365,-9.436612
M07,53.716182,-9.439670
M08,53.805997,-9.442745
M09,53.895811,-9.445837
G00,53.985623,-9.448946
G01,54.075434,-9.452071
G02,54.165243,-9.455214
G03,54.255051,-9.458374
G04,54.344857,-9.461551
W12,51.471911,-9.224018
W13,51.561768,-9.226428
W14,51.651624,-9.228851
W15,51.741478,-9.231287
W16,51.831331,-9.233735
W17,51.921183,-9.236196
W18,52.011033,-9.238670
W19,52.100881,-9.241157
R10,52.190728,-9.243657
R11,52.280574,-9.246170
R12,52.370418,-9.248697
R13,52.460261,-9.251237
R14,52.550102,-9.253790
R15,52.639942,-9.256356
R16,52.729780,-9.258937
R17,52.819617,-9.261531
R18,52.909452,-9.264139
R19,52.999286,-9.266761
M10,53.089119,-9.269397
M11,53.178950,-9.272047
M12,53.268779,-9.274711
M13,53.358607,-9.277389
M14,53.448434,-9.280082
M15,53.538259,-9.282790
M16,53.628083,-9.285512
M17,53.717905,-9.288249
M18,53.807726,-9.291000
M19,53.897545,-9.293767
G10,53.987363,-9.296549
G11,54.077180,-9.299346
G12,54.166995,-9.302158
G13,54.256808,-9.304986
G14,54.346621,-9.307829
W23,51.563186,-9.082257
W24,51.653046,-9.084395
W25,51.742905,-9.086545
W26,51.832763,-9.088705
W27,51.922619,-9.090877
W28,52.012473,-9.093060
W29,52.102327,-9.095255
R20,52.192178,-9.097461
R21,52.282029,-9.099679
R22,52.371877,-9.101908
R23,52.461725,-9.104150
R24,52.551571,-9.106403
R25,52.641415,-9.108668
R26,52.731258,-9.110945
R27,52.821100,-9.113234
R28,52.910940,-9.115536
R29,53.000779,-9.117849
M20,53.090616,-9.120176
M21,53.180452,-9.122514
M22,53.270287,-9.124865
M23,53.360120,-9.127229
M24,53.449951,-9.129605
M25,53.539781,-9.131995
M26,53.629610,-9.134397
M27,53.719437,-9.136812
M28,53.809263,-9.139240
M29,53.899088,-9.141682
G20,53.988911,-9.144137
G21,54.078732,-9.146605
G22,54.168552,-9.149087
G23,54.258371,-9.151582
W33,51.564427,-8.938075
W34,51.654291,-8.939928
W35,51.744154,-8.941791
W36,51.834015,-8.943664
W37,51.923875,-8.945547
W38,52.013734,-8.947439
W39,52.103591,-8.949341
R30,52.193447,-8.951254
R31,52.283302,-8.953176
R32,52.373154,-8.955108
R33,52.463006,-8.957051
R34,52.552856,-8.959004
R35,52.642705,-8.960967
R36,52.732552,-8.962941
R37,52.822398,-8.964926
R38,52.912242,-8.966920
R39,53.002085,-8.968926
M30,53.091927,-8.970942
M31,53.181767,-8.972969
M32,53.271606,-8.975007
M33,53.361443,-8.977056
M34,53.451279,-8.979116
M35,53.541113,-8.981187
M36,53.630946,-8.983269
M37,53.720778,-8.985362
M38,53.810608,-8.987467
M39,53.900437,-8.989584
G30,53.990265,-8.991711
G31,54.080091,-8.993851
G32,54.169915,-8.996002
G33,54.259738,-8.998165
W43,51.565490,-8.793883
W44,51.655358,-8.795452
W45,51.745224,-8.797028
W46,51.835089,-8.798613
W47,51.924953,-8.800206
W48,52.014815,-8.801808
W49,52.104676,-8.803418
R40,52.194535,-8.805036
R41,52.284393,-8.806663
R42,52.374249,-8.808298
R43,52.464104,-8.809942
R44,52.553958,-8.811595
R45,52.643810,-8.813257
R46,52.733661,-8.814927
R47,52.823510,-8.816606
R48,52.913358,-8.818294
R49,53.003205,-8.819991
M40,53.093050,-8.821698
M41,53.182894,-8.823413
M42,53.272736,-8.825138
M43,53.362577,-8.826872
M44,53.452417,-8.828615
M45,53.542255,-8.830368
M46,53.632092,-8.832130
M47,53.721927,-8.833901
M48,53.811761,-8.835683
M49,53.901594,-8.837474
G40,53.991425,-8.839274
G41,54.081255,-8.841085
G42,54.171083,-8.842905
G43,54.260911,-8.844736
G47,54.620205,-8.852159
G48,54.710025,-8.854040
W53,51.566377,-8.649684
W54,51.656247,-8.650967
W55,51.746116,-8.652257
W56,51.835984,-8.653554
W57,51.925851,-8.654858
W58,52.015716,-8.656168
W59,52.105579,-8.657486
R50,52.195441,-8.658810
R51,52.285302,-8.660141
R52,52.375162,-8.661479
R53,52.465020,-8.662825
R54,52.554876,-8.664177
R55,52.644731,-8.665537
R56,52.734585,-8.666904
R57,52.824438,-8.668278
R58,52.914289,-8.669659
R59,53.004138,-8.671048
M50,53.093987,-8.672444
M51,53.183833,-8.673848
M52,53.273679,-8.675259
M53,53.363523,-8.676678
M54,53.453366,-8.678105
M55,53.543207,-8.679539
M56,53.633047,-8.680981
M57,53.722885,-8.682431
M58,53.812722,-8.683888
M59,53.902558,-8.685354
G50,53.992393,-8.686828
G51,54.082226,-8.688309
G52,54.172057,-8.689799
G53,54.261887,-8.691297
G54,54.351716,-8.692803
G55,54.441544,-8.694317
G57,54.621195,-8.697371
G58,54.711018,-8.698911
G59,54.800840,-8.700459
W63,51.567086,-8.505477
W64,51.656959,-8.506476
W65,51.746830,-8.507479
W66,51.836700,-8.508488
W67,51.926569,-8.509502
W68,52.016436,-8.510522
W69,52.106302,-8.511547
R60,52.196167,-8.512577
R61,52.286030,-8.513612
R62,52.375892,-8.514653
R63,52.465752,-8.515700
R64,52.555611,-8.516752
R65,52.645469,-8.517810
R66,52.735325,-8.518873
R67,52.825180,-8.519942
R68,52.915033,-8.521017
R69,53.004885,-8.522097
M60,53.094736,-8.523183
M61,53.184585,-8.524275
M62,53.274433,-8.525373
M63,53.364279,-8.526477
M64,53.454125,-8.527587
M65,53.543968,-8.528703
M66,53.633811,-8.529824
M67,53.723652,-8.530952
M68,53.813491,-8.532086
M69,53.903330,-8.533226
G60,53.993167,-8.534373
G61,54.083002,-8.535525
G62,54.172836,-8.536684
G63,54.262669,-8.537849
G64,54.352501,-8.539021
G65,54.442331,-8.540199
G67,54.621987,-8.542575
G68,54.711813,-8.543773
G69,54.801637,-8.544977
B60,54.891461,-8.546188
B61,54.981283,-8.547406
W74,51.657492,-8.361979
W75,51.747366,-8.362696
W76,51.837237,-8.363417
W77,51.927108,-8.364141
W78,52.016977,-8.364870
W79,52.106845,-8.365602
R70,52.196711,-8.366338
R71,52.286576,-8.367078
R72,52.376439,-8.367822
R73,52.466301,-8.368570
R74,52.556162,-8.369322
R75,52.646022,-8.370077
R76,52.735879,-8.370837
R77,52.825736,-8.371601
R78,52.915591,-8.372369
R79,53.005445,-8.373141
M70,53.095298,-8.373917
M71,53.185149,-8.374697
M72,53.274999,-8.375481
M73,53.364847,-8.376270
M74,53.454694,-8.377063
M75,53.544540,-8.377860
M76,53.634384,-8.378662
M77,53.724227,-8.379468
