GridRef,x,y
NF09,"5000","895000"
NA00,"5000","905000"
NF19,"15000","895000"
NA10,"15000","905000"
NL57,"55000","775000"
NL58,"55000","785000"
NF56,"55000","865000"
NL68,"65000","785000"
NL69,"65000","795000"
NF60,"65000","805000"
NF61,"65000","815000"
NF63,"65000","835000"
NF66,"65000","865000"
NF67,"65000","875000"
NL79,"75000","795000"
NF70,"75000","805000"
NF71,"75000","815000"
NF72,"75000","825000"
NF73,"75000","835000"
NF74,"75000","845000"
NF75,"75000","855000"
NF76,"75000","865000"
NF77,"75000","875000"
NA74,"75000","945000"
SV80,"85000","5000"
SV81,"85000","15000"
NF80,"85000","805000"
NF81,"85000","815000"
NF82,"85000","825000"
NF83,"85000","835000"
NF84,"85000","845000"
NF85,"85000","855000"
NF86,"85000","865000"
NF87,"85000","875000"
NF88,"85000","885000"
NF89,"85000","895000"
SV90,"95000","5000"
SV91,"95000","15000"
NL93,"95000","735000"
NL94,"95000","745000"
NF95,"95000","855000"
NF96,"95000","865000"
NF97,"95000","875000"
NF98,"95000","885000"
NF99,"95000","895000"
NA90,"95000","905000"
NA91,"95000","915000"
NA92,"95000","925000"
NA93,"95000","935000"
SM06,"105000","265000"
SM07,"105000","275000"
SM08,"105000","285000"
SM09,"105000","295000"
NW00,"105000","505000"
NW01,"105000","515000"
NW02,"105000","525000"
NW03,"105000","535000"
NW04,"105000","545000"
NW05,"105000","555000"
NW06,"105000","565000"
NW07,"105000","575000"
NW08,"105000","585000"
NW09,"105000","595000"
NR00,"105000","605000"
NM04,"105000","745000"
NM05,"105000","755000"
NG07,"105000","875000"
NG08,"105000","885000"
NG09,"105000","895000"
NB00,"105000","905000"
NB01,"105000","915000"
NB02,"105000","925000"
NB03,"105000","935000"
NB04,"105000","945000"
SM19,"115000","295000"
NW10,"115000","505000"
NW11,"115000","515000"
NW12,"115000","525000"
NW13,"115000","535000"
NW14,"115000","545000"
NW15,"115000","555000"
NW16,"115000","565000"
NW17,"115000","575000"
NW18,"115000","585000"
NW19,"115000","595000"
NR10,"115000","605000"
NR15,"115000","655000"
