gr,freq
B61,6
B70,7
B71,4
B72,4
B73,1
B80,3
B81,2
B82,4
B83,4
B84,2
B90,5
B91,4
B92,7
B93,9
B94,1
C00,4
C01,9
C02,5
C03,11
C04,3
C10,8
C11,7
C12,9
C13,6
C14,5
C20,7
C21,8
C22,6
C23,8
C24,7
C30,6
C31,7
C32,9
C33,3
C34,8
C35,3
C40,13
C41,15
C42,7
C43,3
C44,3
C45,5
C46,1
C50,13
C51,11
C52,9
C53,1
C54,9
C55,3
C60,13
C61,4
C62,18
C63,11
C64,4
C70,8
C71,4
C72,9
C73,11
C80,11
C81,19
C82,10
C83,14
C84,3
C90,10
C91,14
C92,12
C93,12
C94,10
D00,13
D01,10
D02,15
D03,12
D04,8
D05,1
D10,16
D11,14
D12,8
D13,15
D14,9
D15,4
D20,10
D21,14
D22,13
D23,10
D24,2
D30,15
D31,8
D32,1
D40,6
F50,4
F52,1
F60,5
F61,3
F62,7
F63,5
F70,4
F71,8
F72,3
F73,5
F80,4
F81,2
F82,3
F83,4
F84,4
F90,2
F91,1
F92,5
F93,2
F94,1
G00,2
G01,2
G02,2
G03,1
G04,3
G10,3
G11,3
G12,4
G13,4
G14,1
G20,9
G21,6
G22,10
G23,6
G30,6
G31,8
G32,14
G33,20
G40,14
G41,9
G42,12
G43,14
G47,1
G48,2
G50,13
G51,15
G52,14
G53,14
G54,10
G55,2
G57,5
G58,5
G59,1
G60,20
G61,19
G62,23
G63,20
G64,23
G65,7
G67,7
G68,7
G69,9
G70,17
G71,18
G72,21
G73,22
G74,20
G75,23
G76,1
G77,9
G78,4
G79,7
G80,12
G81,15
G82,18
G83,23
G84,19
G85,16
G86,6
G87,8
G89,3
G90,14
G91,10
G92,15
G93,17
G94,23
G95,22
G96,8
G97,7
G98,8
G99,2
H00,14
H01,10
H02,7
H03,16
H04,24
H05,24
H06,16
H07,5
H08,5
H09,6
H10,13
H11,12
H12,6
H13,22
H14,25
H15,22
H16,23
H17,9
H18,5
H19,4
H20,15
H21,8
H22,19
H23,25
H24,24
H25,21
H26,23
H27,9
H28,11
H29,7
H30,10
H31,13
H32,25
H33,25
H34,24
H35,15
H36,7
H37,11
H38,9
H39,10
H40,7
H41,10
H42,24
H43,25
H44,22
H45,9
H46,10
H47,12
H48,15
H49,5
H50,6
H51,6
H52,8
H53,19
H54,9
H55,19
H56,7
H57,6
H58,11
H59,6
H60,11
H61,7
H62,4
H63,12
H64,9
H65,14
H66,6
H67,7
H68,11
H69,4
H70,6
H71,6
H72,4
H73,17
H74,20
H75,14
H76,8
H77,13
H78,5
H79,12
H80,16
H81,12
H82,14
H83,15
H84,22
H85,17
H86,12
H87,11
H88,17
H89,11
H90,9
H91,16
H92,14
H93,14
H94,18
H95,15
H96,15
H97,6
H98,12
H99,15
HP50,11
HP60,9
HP61,6
HT93,1
HT94,1
HU14,1
HU15,1
HU16,2
HU24,2
HU25,4
HU26,1
HU28,2
HU30,1
HU31,6
HU32,1
HU33,4
HU34,3
HU35,3
HU36,6
HU37,7
HU38,4
HU39,1
HU40,2
HU41,2
HU42,7
HU43,6
HU44,10
HU45,7
HU46,6
HU47,4
HU48,3
HU49,1
HU53,2
HU54,3
HU55,1
HU56,5
HU57,1
HU58,3
HU59,7
HU68,1
HU69,4
HY10,1
HY20,12
HY21,16
HY22,17
HY23,1
HY30,13
HY31,21
HY32,19
HY33,5
HY34,1
HY40,13
HY41,12
HY42,15
HY43,6
HY44,15
HY45,3
HY50,17
HY51,5
HY52,4
HY53,8
HY54,1
HY55,3
HY60,1
HY61,1
HY62,13
HY63,7
HY64,9
HY74,6
HY75,6
J00,10
J01,15
J02,16
J03,20
J04,19
J05,19
J06,18
J07,5
J08,11
J09,12
J10,10
J11,11
J12,15
J13,11
J14,15
J15,20
J16,12
J17,16
J18,17
J19,14
J20,5
J21,16
J22,14
J23,10
J24,9
J25,15
J26,21
J27,13
J28,18
J29,13
J31,5
J32,12
J33,23
J34,20
J35,19
J36,19
J37,25
J38,15
J39,17
J43,14
J44,20
J45,25
J46,18
J47,22
J48,13
J49,18
J53,12
J54,21
J55,21
J56,16
J57,20
J58,9
J64,7
J65,13
J66,14
J67,5
J68,2
L46,1
L54,2
L55,6
L56,3
L63,3
L64,7
L65,5
L66,6
L67,3
L68,4
L69,1
L71,1
L72,3
L73,8
L74,5
L75,6
L76,9
L77,6
L78,6
L79,7
L80,6
L81,5
L82,6
L83,3
L84,7
L85,4
L86,7
L87,5
L88,4
L89,7
L90,8
L92,2
L93,4
L94,4
L95,4
L96,3
L97,4
L98,9
L99,8
M00,1
M02,7
M03,5
M04,5
M05,5
M06,9
M07,6
M08,6
M09,8
M10,13
M11,2
M12,5
M13,9
M14,10
M15,13
M16,11
M17,8
M18,5
M19,4
M20,17
M21,7
M22,11
M23,12
M24,9
M25,6
M26,8
M27,9
M28,8
M29,5
M30,13
M31,19
M32,15
M33,9
M34,4
M35,4
M36,6
M37,10
M38,8
M39,8
M40,12
M41,14
M42,8
M43,7
M44,5
M45,1
M46,9
M47,6
M48,9
M49,7
M50,8
M51,9
M52,11
M53,2
M54,3
M55,5
M56,7
M57,15
M58,10
M59,7
M60,8
M61,9
M62,7
M63,8
M64,3
M65,3
M66,7
M67,11
M68,13
M69,11
M70,9
M71,3
M72,5
M73,5
M74,5
M75,8
M76,13
M77,9
M78,12
M79,12
M80,7
M81,3
M82,12
M83,10
M84,12
M85,7
M86,8
M87,7
M88,8
M89,5
M90,6
M91,10
M92,17
M93,6
M94,10
M95,11
M96,13
M97,5
M98,10
M99,17
N00,12
N01,14
N02,7
N03,13
N04,10
N05,13
N06,9
N07,15
N08,12
N09,18
N10,10
N11,6
N12,13
N13,7
N14,6
N15,11
N16,12
N17,12
N18,12
N19,17
N20,8
N21,10
N22,14
N23,13
N24,7
N25,11
N26,12
N27,8
N28,11
N29,18
N30,7
N31,11
N32,17
N33,12
N34,3
N35,10
N36,7
N37,10
N38,11
N39,9
N40,11
N41,10
N42,11
N43,7
N44,6
N45,12
N46,8
N47,4
N48,13
N49,5
N50,14
N51,13
N52,5
N53,10
N54,7
N55,8
N56,8
N57,4
N58,4
N59,12
N60,9
N61,7
N62,6
N63,15
N64,9
N65,4
N66,4
N67,2
N68,3
N69,7
N70,2
N71,6
N72,10
N73,6
N74,10
N75,1
N76,3
N78,1
N79,6
N80,8
N81,5
N82,10
N83,6
N84,10
N85,8
N86,7
N87,1
N88,4
N89,10
N90,7
N91,10
N92,4
N93,12
N94,9
N95,11
N96,8
N97,7
N98,3
N99,12
NA90,1
NA91,4
NA92,1
NB00,6
NB01,7
NB02,1
NB03,13
NB10,7
NB11,1
NB12,2
NB13,9
NB14,3
NB20,7
NB21,4
NB22,3
NB23,6
NB24,6
NB30,2
NB31,6
NB32,12
NB33,5
NB34,1
NB35,4
NB41,2
NB42,5
NB43,15
NB44,2
NB45,5
NB46,3
NB53,7
NB54,3
NB55,5
NB56,7
NB90,3
NB91,2
NC00,3
NC01,5
NC02,15
NC03,11
NC10,4
NC11,3
NC12,14
NC13,11
NC14,14
NC15,3
NC16,2
NC20,6
NC21,17
NC22,11
NC23,13
NC24,7
NC25,13
NC26,1
NC27,4
NC30,13
NC31,5
NC32,3
NC33,6
NC34,2
NC35,7
NC36,14
NC37,1
NC40,10
NC41,5
NC42,5
NC44,3
NC45,9
NC46,12
NC50,11
NC51,6
NC52,3
NC53,5
NC54,2
NC55,7
NC56,5
NC60,11
NC61,3
NC63,3
NC64,4
NC65,7
NC66,9
NC70,14
NC71,3
NC72,1
NC73,3
NC74,4
NC75,4
NC76,8
NC80,13
NC81,3
NC82,5
NC83,6
NC84,3
NC85,5
NC86,7
NC90,5
NC91,10
NC92,1
NC94,2
NC95,1
NC96,7
ND01,10
ND02,6
ND03,2
ND04,5
ND05,2
ND06,8
ND07,4
ND12,10
ND13,14
ND14,5
ND15,5
ND16,10
ND17,2
ND19,1
ND23,12
ND24,5
ND25,7
ND26,7
ND27,5
ND28,3
ND29,6
ND33,1
ND34,9
ND35,10
ND36,5
ND37,8
ND38,3
ND39,15
ND47,1
ND48,9
ND49,13
ND59,2
NF19,2
NF60,8
NF66,6
NF67,1
NF70,9
NF71,16
NF72,16
NF73,15
NF74,13
NF75,7
NF76,14
NF77,10
NF80,1
NF81,5
NF82,4
NF83,7
NF84,13
NF85,16
NF86,13
NF87,15
NF88,3
NF95,1
NF96,7
NF97,8
NF98,9
NF99,3
NG07,1
NG08,9
NG09,7
NG14,13
NG15,7
NG18,1
NG19,13
NG20,7
NG23,2
NG24,15
NG25,19
NG26,5
NG29,5
NG30,9
NG31,2
NG32,9
NG33,23
NG34,12
NG35,16
NG36,13
NG37,4
NG40,1
NG41,9
NG42,3
NG43,13
NG44,17
NG45,9
NG46,16
NG47,13
NG49,3
NG50,9
NG51,18
NG52,13
NG53,20
NG54,19
NG55,11
NG56,5
NG60,11
NG61,21
NG62,17
NG63,8
NG64,3
NG65,7
NG66,1
NG70,9
NG71,7
NG72,11
NG73,5
NG74,4
NG75,5
NG76,6
NG77,4
NG78,2
NG80,1
NG81,7
NG82,10
NG83,8
NG84,4
NG85,10
NG86,1
NG87,1
NG88,7
NG89,4
NG90,4
NG91,4
NG92,6
NG93,2
NG94,4
NG95,3
NG96,1
NG97,4
NG98,2
NG99,3
NH00,4
NH01,1
NH02,3
NH03,1
NH04,1
NH05,4
NH06,4
NH08,3
NH09,3
NH10,6
NH11,2
NH12,2
NH13,4
NH15,7
NH17,2
NH18,10
NH19,4
NH20,6
NH21,4
NH22,2
NH23,4
NH24,1
NH25,8
NH26,6
NH27,3
NH28,1
NH29,2
NH30,10
NH31,6
NH32,3
NH33,6
NH34,3
NH35,7
NH36,12
NH37,9
NH38,4
NH39,3
NH40,1
NH41,9
NH42,8
NH43,7
NH44,6
NH45,19
NH46,9
NH47,1
NH48,3
NH49,7
NH50,3
NH51,9
NH52,15
NH53,13
NH54,18
NH55,24
NH56,16
NH57,9
NH58,8
NH59,13
NH60,1
NH61,2
NH62,9
NH63,15
NH64,19
NH65,23
NH66,23
NH67,21
NH68,14
NH69,12
NH70,12
NH71,4
NH72,8
NH73,7
NH74,14
NH75,14
NH76,20
NH77,22
NH78,22
NH79,20
NH80,15
NH81,9
NH82,16
NH83,5
NH84,8
NH85,16
NH86,4
NH87,20
NH88,15
NH89,5
NH90,6
NH91,20
NH92,21
NH93,12
NH94,20
NH95,19
NH96,6
NH97,1
NH98,8
NJ00,2
NJ01,14
NJ02,22
NJ03,16
NJ04,19
NJ05,25
NJ06,15
NJ10,1
NJ11,14
NJ12,22
NJ13,20
NJ14,17
NJ15,21
NJ16,25
NJ17,3
NJ20,15
NJ21,10
NJ22,14
NJ23,10
NJ24,19
NJ25,20
NJ26,24
NJ27,2
NJ30,16
NJ31,22
NJ32,10
NJ33,11
NJ34,17
NJ35,24
NJ36,17
NJ40,20
NJ41,18
NJ42,16
NJ43,10
NJ44,18
NJ45,16
NJ46,15
NJ50,21
NJ51,25
NJ52,10
NJ53,6
NJ54,11
NJ55,16
NJ56,12
NJ60,16
NJ61,24
NJ62,12
NJ63,7
NJ64,14
NJ65,21
NJ66,14
NJ70,23
NJ71,24
NJ72,25
NJ73,18
NJ74,11
NJ75,15
NJ76,14
NJ80,25
NJ81,24
NJ82,24
NJ83,20
NJ84,11
NJ85,16
NJ86,15
NJ90,18
NJ91,17
NJ92,24
NJ93,15
NJ94,14
NJ95,16
NJ96,13
NK02,6
NK03,16
NK04,19
NK05,21
NK06,11
NK13,2
NK14,8
NK15,4
NL58,1
NL68,1
NL69,12
NL93,3
NL94,17
NM04,16
NM05,2
NM15,15
NM19,1
NM21,1
NM22,7
NM23,1
NM24,5
NM25,7
NM26,9
NM31,7
NM32,14
NM33,5
NM34,14
NM35,6
NM37,1
NM38,1
NM39,5
NM40,2
NM41,4
NM42,16
NM43,17
NM44,12
NM45,15
NM46,12
NM47,5
NM48,14
NM49,5
NM51,1
NM52,16
NM53,8
NM54,13
NM55,11
NM56,15
NM57,5
NM59,1
NM61,3
NM62,13
NM63,11
NM64,14
NM65,3
NM66,13
NM67,7
NM68,8
NM69,6
NM70,16
NM71,19
NM72,7
NM73,13
NM74,1
NM75,5
NM76,7
NM77,4
NM78,6
NM79,4
NM80,17
NM81,16
NM82,25
NM83,14
NM84,11
NM85,5
NM86,7
NM88,3
NM89,3
NM90,6
NM91,10
NM92,12
NM93,19
NM94,18
NM95,14
NM96,6
NM97,2
NM98,1
NM99,1
NN00,7
NN01,8
NN02,12
NN03,8
NN04,7
NN05,12
NN06,13
NN07,15
NN09,3
NN10,12
NN11,7
NN12,14
NN13,4
NN14,2
NN15,7
NN16,12
NN17,10
NN18,10
NN19,2
NN20,12
NN21,6
NN22,5
NN23,4
NN24,3
NN25,6
NN27,1
NN28,14
NN29,7
NN30,16
NN31,14
NN32,12
NN33,5
NN34,2
NN35,3
NN36,5
NN37,5
NN38,5
NN39,4
NN40,17
NN41,10
NN42,11
NN43,5
NN44,6
NN45,11
NN46,3
NN47,1
NN48,4
NN49,1
NN50,21
NN51,16
NN52,14
NN53,12
NN54,9
NN55,11
NN56,4
NN57,4
NN58,6
NN59,8
NN60,20
NN61,9
NN62,10
NN63,12
NN64,11
NN65,7
NN66,5
NN67,8
NN68,8
NN69,15
NN70,20
NN71,13
NN72,12
NN73,8
NN74,14
NN75,7
NN76,13
NN77,8
NN78,3
NN79,11
NN80,22
NN81,21
