gr,freq
SC49,1
SD08,1
SD09,3
SD18,2
SD17,3
SD16,4
SD26,1
SD20,4
SD21,1
SD30,17
SD31,19
SD33,19
SD34,13
SD37,1
SD32,10
SD38,3
SD35,1
SD40,20
SD41,14
SD42,12
SD43,12
SD44,6
SD45,10
SD46,13
SD47,7
SD48,10
SD50,16
SD52,19
SD53,18
SD54,5
SD55,2
SD56,8
SD57,4
SD58,8
SD59,3
SD51,9
SD60,13
SD61,12
SD62,12
SD63,10
SD67,2
SD64,2
SD69,1
SD70,17
SD71,6
SD72,17
SD73,18
SD77,1
SD76,2
SD74,4
SD80,11
SD81,12
SD82,5
SD83,10
SD86,1
SD84,5
SD85,3
SD90,6
SD91,8
SD94,4
SD99,2
SD95,3
SE05,7
SE04,3
SE03,1
SE09,1
SE08,2
SE02,2
SE00,2
SE13,7
SE14,4
SE19,4
SE10,4
SE18,1
SE11,1
SE15,2
SE12,2
SE20,6
SE24,9
SE29,5
SE23,3
SE28,1
SE25,3
SE21,2
SE30,12
SE33,7
SE35,9
SE36,4
SE37,2
SE31,2
SE32,3
SE34,1
SE40,9
SE44,9
SE45,11
SE43,2
SE41,2
SE42,2
SE50,17
SE51,5
SE52,3
SE54,5
SE55,1
SE56,2
SE60,15
SE62,4
SE61,8
SE70,8
SE71,5
SE72,3
SE76,3
SE78,1
SE80,13
SE81,10
SE84,8
SE89,1
SE87,1
SE88,1
SE90,12
SE91,5
SE93,1
SE94,4
SE98,6
SE92,3
SE99,1
SE97,2
SH12,8
SH13,2
SH22,2
SH27,9
SH28,11
SH29,3
SH33,2
SH34,4
SH37,15
SH38,6
SH39,8
SH32,1
SH36,8
SH46,8
SH47,13
SH43,3
SH44,1
SH45,8
SH48,1
SH49,7
SH53,2
SH55,2
SH56,7
SH58,7
SH57,14
SH50,3
SH52,3
SH51,2
SH61,5
SH65,3
SH67,6
SH68,4
SH66,3
SH77,5
SH70,2
SH78,7
SH76,1
SH87,5
SH88,4
SH80,1
SH93,2
SH95,1
SH97,8
SH91,1
SH98,2
SJ08,7
SJ04,1
SJ07,7
SJ06,5
SJ00,1
SJ18,7
SJ15,5
SJ17,14
SJ14,3
SJ16,2
SJ10,5
SJ20,7
SJ24,5
SJ26,13
SJ27,8
SJ28,2
SJ29,2
SJ21,10
SJ25,2
SJ22,7
SJ23,5
SJ31,8
SJ32,8
SJ33,4
SJ34,6
SJ35,16
SJ36,17
SJ38,5
SJ39,15
SJ37,5
SJ30,1
SJ40,8
SJ41,11
SJ44,5
SJ49,15
SJ46,2
SJ47,1
SJ48,11
SJ43,2
SJ51,12
SJ54,4
SJ58,12
SJ59,21
SJ50,6
SJ52,8
SJ53,8
SJ56,2
SJ61,8
SJ67,3
SJ68,5
SJ69,19
SJ62,6
SJ63,4
SJ64,3
SJ60,2
SJ65,1
SJ66,1
SJ70,9
SJ75,3
SJ76,3
SJ79,16
SJ72,2
SJ78,3
SJ77,2
SJ71,1
SJ74,1
SJ80,7
SJ88,8
SJ89,10
SJ84,7
SJ87,2
SJ85,2
SJ83,1
SJ90,7
SJ92,1
SJ97,3
SJ93,2
SJ98,6
SJ99,4
SJ94,4
SJ95,4
SJ96,1
SK00,10
SK08,14
SK09,8
SK06,2
SK03,2
SK07,3
SK10,3
SK16,2
SK17,7
SK13,6
SK19,1
SK14,4
SK15,1
SK18,5
SK11,1
SK12,1
SK21,5
SK22,6
SK23,10
SK27,14
SK28,10
SK24,9
SK26,6
SK20,6
SK25,5
SK29,3
SK30,6
SK32,7
SK33,19
SK34,14
SK35,15
SK37,15
SK38,7
SK39,10
SK31,3
SK36,9
SK40,8
SK43,15
SK44,14
SK45,18
SK46,9
SK47,8
SK48,10
SK49,9
SK41,12
SK42,10
SK50,21
SK52,15
SK53,19
SK54,20
SK55,22
SK56,19
SK57,17
SK59,19
SK51,11
SK58,10
SK60,12
SK61,9
SK63,17
SK64,22
SK65,21
SK66,16
SK67,19
SK68,16
SK69,20
SK62,8
SK70,5
SK71,6
SK72,5
SK73,8
SK74,6
SK75,16
SK76,12
SK77,14
SK79,5
SK78,7
SK80,9
SK82,3
SK83,5
SK85,13
SK86,9
SK87,11
SK89,10
SK81,2
SK88,8
SK84,5
SK90,4
SK93,11
SK96,7
SK97,13
SK98,8
SK99,6
SK95,3
SK92,5
SK91,3
SK94,5
SM50,1
SM62,1
SM72,7
SM71,2
SM70,2
SM73,1
SM82,3
SM83,4
SM81,1
SM80,1
SM84,1
SM91,4
SM90,5
SM93,5
SM92,2
SM94,1
SN03,2
SN04,2
SN00,1
SN01,1
SN11,3
SN14,3
SN10,3
SN15,3
SN20,2
SN21,2
SN25,1
SN24,1
SN31,2
SN34,1
SN30,2
SN40,7
SN41,3
SN42,2
SN45,2
SN50,8
SN51,4
SN57,2
SN58,4
SN59,2
SN60,1
SN69,4
SN61,1
SN78,1
SN79,1
SN71,1
SN70,1
SN80,3
SN88,1
SN90,1
SN98,2
SN92,1
SO08,2
SO02,3
SO09,2
SO00,1
SO04,1
SO19,6
SO16,1
SO10,2
SO13,2
SO11,1
SO14,1
SO21,6
SO20,2
SO29,1
SO30,3
SO31,2
SO32,3
SO39,1
SO37,1
SO40,4
SO43,7
SO44,3
SO48,3
SO47,2
SO41,2
SO49,1
SO51,8
SO53,3
SO54,11
SO55,4
SO52,7
SO56,2
SO50,2
SO60,3
SO62,11
SO64,8
SO66,3
SO61,4
SO69,5
SO65,2
SO63,2
SO67,1
SO73,11
SO74,9
SO76,5
SO70,13
SO71,13
SO72,7
SO77,3
SO79,10
SO75,3
SO78,2
SO80,11
SO81,18
SO82,9
SO83,12
SO84,15
SO85,16
SO86,17
SO87,22
SO89,7
SO88,8
SO91,10
SO92,14
SO93,10
SO94,12
SO95,6
SO96,14
SO97,19
SO98,22
SO99,14
SO90,2
SP00,5
SP02,1
SP03,2
SP06,16
SP07,18
SP08,22
SP09,16
SP04,13
SP01,6
SP05,6
SP11,6
SP14,4
SP16,6
SP18,16
SP19,18
SP13,1
SP15,5
SP17,8
SP12,1
SP21,3
SP24,6
SP25,11
SP26,18
SP29,10
SP23,6
SP28,8
SP27,4
SP22,1
SP34,1
SP36,7
SP37,7
SP38,9
SP39,13
SP35,7
SP30,1
SP32,2
SP31,1
SP44,7
SP46,10
SP47,11
SP48,10
SP49,10
SP43,1
SP45,5
SP41,8
SP40,9
SP42,2
SP50,11
SP51,2
SP53,4
