gr,freq
B61,6
B70,7
B71,5
B72,7
B73,1
B80,3
B81,3
B82,3
B83,4
B84,2
B90,4
B91,4
B92,6
B93,4
B94,1
C00,4
C01,5
C02,4
C03,7
C04,3
C10,3
C11,2
C12,5
C13,6
C14,3
C20,3
C21,5
C22,4
C23,5
C24,4
C30,5
C31,6
C32,5
C33,3
C34,7
C35,2
C36,1
C40,5
C41,9
C42,6
C43,4
C44,4
C45,4
C46,1
C50,7
C51,6
C52,4
C53,1
C54,9
C55,3
C60,4
C61,3
C62,9
C63,8
C64,4
C70,7
C71,3
C72,5
C73,8
C80,9
C81,14
C82,7
C83,11
C84,3
C90,7
C91,10
C92,8
C93,10
C94,10
D00,7
D01,7
D02,10
D03,8
D04,9
D05,1
D10,8
D11,14
D12,7
D13,8
D14,7
D15,2
D20,7
D21,8
D22,12
D23,8
D24,2
D30,13
D31,6
D32,1
D40,6
F50,4
F52,1
F60,6
F61,3
F62,7
F63,6
F70,5
F71,5
F72,6
F73,3
F74,1
F80,3
F81,3
F82,4
F83,4
F84,4
F90,2
F91,1
F92,6
F93,2
F94,2
G00,4
G01,1
G02,6
G03,2
G04,5
G10,4
G11,2
G12,5
G13,3
G14,2
G20,12
G21,5
G22,9
G23,4
G30,7
G31,3
G32,15
G33,17
G40,14
G41,10
G42,10
G43,11
G47,1
G48,2
G50,11
G51,9
G52,12
G53,13
G54,9
G55,2
G57,2
G58,3
G59,1
G60,15
G61,14
G62,18
G63,18
G64,21
G65,7
G67,5
G68,8
G69,7
G70,16
G71,10
G72,18
G73,21
G74,15
G75,22
G76,1
G77,7
G78,4
G79,5
G80,9
G81,12
G82,16
G83,22
G84,13
G85,17
G86,4
G87,6
G88,3
G90,13
G91,9
G92,13
G93,13
G94,21
G95,20
G96,7
G97,8
G98,10
G99,1
H00,12
H01,11
H02,9
H03,13
H04,22
H05,21
H06,13
H07,8
H08,8
H09,5
H10,12
H11,12
H12,6
H13,22
H14,24
H15,22
H16,23
H17,10
H18,4
H19,4
H20,13
H21,4
H22,21
H23,25
H24,19
H25,18
H26,21
H27,9
H28,12
H29,7
H30,8
H31,10
H32,22
H33,23
H34,21
H35,12
H36,6
H37,4
H38,6
H39,5
H40,4
H41,4
H42,23
H43,24
H44,20
H45,8
H46,6
H47,6
H48,8
H49,3
H50,3
H51,4
H52,10
H53,15
H54,13
H55,9
H56,5
H57,5
H58,10
H59,2
H60,2
H61,5
H62,2
H63,6
H64,7
H65,7
H66,4
H67,4
H68,5
H69,3
H70,3
H71,2
H72,4
H73,11
H74,16
H75,9
H76,5
H77,4
H78,3
H79,5
H80,8
H81,10
H82,14
H83,11
H84,20
H85,12
H86,6
H87,1
H88,9
H89,9
H90,1
H91,7
H92,11
H93,12
H94,12
H95,11
H96,11
H97,5
H98,7
H99,10
HP50,9
HP60,5
HP61,7
HT93,2
HT94,1
HU14,1
HU15,4
HU16,2
HU25,4
HU27,2
HU28,1
HU30,1
HU31,6
HU32,1
HU33,3
HU34,4
HU35,5
HU36,5
HU37,7
HU38,3
HU39,3
HU40,2
HU41,3
HU42,9
HU43,6
HU44,7
HU45,8
HU46,7
HU47,4
HU48,3
HU49,1
HU53,2
HU54,3
HU55,1
HU56,6
HU57,2
HU58,3
HU59,5
HU67,2
HU68,1
HU69,3
HW83,1
HY20,14
HY21,14
HY22,16
HY30,9
HY31,17
HY32,14
HY33,3
HY34,1
HY40,12
HY41,8
HY42,12
HY43,5
HY44,10
HY45,4
HY50,14
HY51,4
HY52,3
HY53,4
HY54,1
HY55,1
HY60,1
HY61,1
HY62,11
HY63,6
HY64,9
HY73,1
HY74,6
HY75,7
HZ26,1
J00,6
J01,9
J02,11
J03,18
J04,15
J05,17
J06,14
J07,5
J08,12
J09,7
J10,5
J11,10
J12,11
J13,8
J14,14
J15,15
J16,8
J17,15
J18,13
J19,10
J20,3
J21,15
J22,13
J23,7
J24,9
J25,10
J26,15
J27,14
J28,15
J29,10
J31,4
J32,7
J33,21
J34,14
J35,13
J36,17
J37,25
J38,15
J39,15
J43,10
J44,16
J45,16
J46,11
J47,17
J48,12
J49,15
J53,11
J54,18
J55,20
J56,13
J57,18
J58,8
J64,7
J65,12
J66,12
J67,5
L54,5
L55,5
L56,3
L57,1
L63,3
L64,5
L65,8
L66,5
L67,3
L68,5
L69,1
L71,1
L72,2
L73,9
L74,6
L75,7
L76,9
L77,5
L78,4
L79,5
L80,5
L81,4
L82,7
L83,4
L84,9
L85,5
L86,5
L87,5
L88,4
L89,7
L90,4
L92,4
L93,6
L94,7
L95,5
L96,3
L97,3
L98,7
L99,9
M00,2
M02,8
M03,7
M04,6
M05,3
M06,9
M07,6
M08,3
M09,8
M10,13
M11,2
M12,5
M13,6
M14,10
M15,10
M16,9
M17,10
M18,5
M19,4
M20,16
M21,7
M22,10
M23,13
M24,8
M25,6
M26,8
M27,6
M28,8
M29,5
M30,15
M31,15
M32,15
M33,8
M34,5
M35,3
M36,6
M37,8
M38,5
M39,7
M40,12
M41,14
M42,8
M43,1
M44,4
M45,1
M46,7
M47,4
M48,5
M49,2
M50,8
M51,9
M52,10
M53,1
M54,3
M55,5
M56,8
M57,14
M58,9
M59,7
M60,8
M61,6
M62,5
M63,7
M64,3
M65,4
M66,8
M67,8
M68,12
M69,9
M70,7
M71,3
M72,2
M73,3
M74,3
M75,6
M76,12
M77,8
M78,10
M79,10
M80,5
M81,4
M82,11
M83,6
M84,11
M85,7
M86,8
M87,7
M88,7
M89,6
M90,5
M91,8
M92,15
M93,6
M94,6
M95,8
M96,11
M97,7
M98,6
M99,13
N00,9
N01,13
N02,6
N03,14
N04,13
N05,11
N06,9
N07,13
N08,13
N09,16
N10,11
N11,7
N12,10
N13,3
N14,4
N15,7
N16,4
N17,8
N18,10
N19,14
N20,7
N21,8
N22,12
N23,9
N24,4
N25,6
N26,10
N27,5
N28,9
N29,15
N30,5
N31,8
N32,9
N33,6
N34,2
N35,4
N36,5
N37,5
N38,8
N39,4
N40,7
N41,6
N42,7
N43,5
N44,6
N45,12
N46,4
N47,2
N48,5
N49,4
N50,11
N51,5
N52,4
N53,8
N54,3
N55,2
N56,7
N58,3
N59,10
N60,4
N61,3
N62,5
N63,6
N64,5
N66,2
N67,1
N68,3
N69,1
N70,1
N71,1
N72,5
N73,1
N74,3
N75,1
N77,1
N78,1
N79,4
N80,4
N81,2
N82,8
N83,3
N85,6
N86,5
N89,9
N90,4
N91,3
N92,2
N93,7
N94,8
N95,8
N96,4
N97,2
N98,3
N99,4
NA91,3
NA92,1
NB00,6
NB01,1
NB02,1
NB03,13
NB10,12
NB11,2
NB12,3
NB13,6
NB14,2
NB20,3
NB21,5
NB22,3
NB23,10
NB24,5
NB31,6
NB32,11
NB33,8
NB34,4
NB35,4
NB41,2
NB42,1
NB43,15
NB44,3
NB45,5
NB46,2
NB53,8
NB54,5
NB55,4
NB56,9
NB90,3
NB91,1
NC00,2
NC01,4
NC02,14
NC03,12
NC10,5
NC11,4
NC12,10
NC13,12
NC14,13
NC15,1
NC16,1
NC20,3
NC21,12
NC22,12
NC23,11
NC24,11
NC25,15
NC26,2
NC27,3
NC30,13
NC31,3
NC32,4
NC33,7
NC34,1
NC35,9
NC36,12
NC37,2
NC40,7
NC41,2
NC42,7
NC43,1
NC44,2
NC45,8
NC46,11
NC50,10
NC51,9
NC52,11
NC53,7
NC54,2
NC55,4
NC56,5
NC60,6
NC61,3
NC63,4
NC64,5
NC65,7
NC66,7
NC70,7
NC71,4
NC73,6
NC74,4
NC75,4
NC76,8
NC80,11
NC81,2
NC82,4
NC83,8
NC84,3
NC85,4
NC86,8
NC90,5
NC91,3
NC92,4
NC94,2
NC96,7
ND01,9
ND02,4
ND03,2
ND04,4
ND05,3
ND06,7
ND07,3
ND12,9
ND13,13
ND14,4
ND15,2
ND16,9
ND17,2
ND19,1
ND23,11
ND24,6
ND25,5
ND26,7
ND27,3
ND28,2
ND29,7
ND33,1
ND34,9
ND35,9
ND36,5
ND37,5
ND38,3
ND39,9
ND47,1
ND48,8
ND49,13
ND59,1
NF19,1
NF56,1
NF60,9
NF66,3
NF67,1
NF70,7
NF71,14
NF72,13
NF73,13
NF74,6
NF75,4
NF76,14
NF77,12
NF80,1
NF81,2
NF82,1
NF83,2
NF84,11
NF85,14
NF86,9
NF87,16
NF88,2
NF96,3
NF97,4
NF98,6
NF99,3
NG08,7
NG09,8
NG14,10
NG15,7
NG18,2
NG19,14
NG20,6
NG23,3
NG24,15
NG25,18
NG26,7
NG29,4
NG30,9
NG31,2
NG32,11
NG33,21
NG34,14
NG35,15
NG36,9
NG37,3
NG41,5
NG42,9
NG43,15
NG44,19
NG45,10
NG46,16
NG47,9
NG49,2
NG50,5
NG51,16
NG52,11
NG53,19
NG54,15
NG55,9
NG56,5
NG60,13
NG61,21
NG62,18
NG63,2
NG64,2
NG65,8
NG66,1
NG70,5
NG71,5
NG72,12
NG73,4
NG74,7
NG75,7
NG76,5
NG77,4
NG78,2
NG81,5
NG82,11
NG83,6
NG84,2
NG85,8
NG86,2
NG87,3
NG88,6
NG89,6
NG90,5
NG91,4
NG92,5
NG93,4
NG94,4
NG95,3
NG96,1
NG97,2
NG98,2
NG99,4
NH00,7
NH01,4
NH02,2
NH03,1
NH04,1
NH05,6
NH06,7
NH08,1
NH09,2
NH10,9
NH11,5
NH12,1
NH13,3
NH15,8
NH16,4
NH17,4
NH18,9
NH19,4
NH20,7
NH21,4
NH22,3
NH23,4
NH24,1
NH25,8
NH26,8
NH27,4
NH28,1
NH29,4
NH30,11
NH31,6
NH32,3
NH33,5
NH34,4
NH35,8
NH36,11
NH37,13
NH38,5
NH39,6
NH40,2
NH41,7
NH42,8
NH43,7
NH44,6
NH45,21
NH46,9
NH48,5
NH49,7
NH50,3
NH51,7
NH52,13
NH53,17
NH54,18
NH55,20
NH56,12
NH57,8
NH58,6
NH59,14
NH60,2
NH61,1
NH62,8
NH63,15
NH64,19
NH65,18
NH66,21
NH67,15
NH68,11
NH69,12
NH70,8
NH71,5
NH72,4
NH73,6
NH74,12
NH75,14
NH76,12
NH77,17
NH78,20
NH79,17
NH80,16
NH81,8
NH82,15
NH83,5
NH84,7
NH85,15
NH86,2
NH87,13
NH88,8
NH89,6
NH90,7
NH91,19
NH92,17
NH93,12
NH94,17
NH95,19
NH96,5
NH98,7
NJ00,1
NJ01,12
NJ02,20
NJ03,16
NJ04,20
NJ05,25
NJ06,15
NJ10,4
NJ11,10
NJ12,15
NJ13,16
NJ14,17
NJ15,23
NJ16,25
NJ17,3
NJ20,7
NJ21,6
NJ22,10
NJ23,7
NJ24,21
NJ25,20
NJ26,24
NJ27,2
NJ30,8
NJ31,11
NJ32,8
NJ33,8
NJ34,9
NJ35,23
NJ36,15
NJ40,16
NJ41,16
NJ42,11
NJ43,5
NJ44,12
NJ45,11
NJ46,12
NJ50,21
NJ51,22
NJ52,10
NJ53,3
NJ54,7
NJ55,10
NJ56,5
NJ60,14
NJ61,20
NJ62,9
NJ63,7
NJ64,8
NJ65,12
NJ66,9
NJ70,16
NJ71,14
NJ72,13
NJ73,9
NJ74,9
NJ75,7
NJ76,12
NJ80,10
NJ81,7
NJ82,5
NJ83,14
NJ84,7
NJ85,10
NJ86,6
NJ90,11
NJ91,8
NJ92,10
NJ93,9
NJ94,8
NJ95,7
NJ96,9
NK02,2
NK03,5
NK04,3
NK05,12
NK06,8
NK13,2
NK14,1
NK15,4
NL69,8
NL93,3
NL94,17
NM04,15
NM05,2
NM15,12
NM16,1
NM22,5
NM24,3
NM25,5
NM26,6
NM31,5
NM32,13
NM33,3
NM34,14
NM35,8
NM37,1
NM38,1
NM39,5
NM40,2
NM41,4
NM42,20
NM43,18
NM44,17
NM45,20
NM46,11
NM47,5
NM48,14
NM49,3
NM51,1
NM52,16
NM53,6
NM54,17
NM55,8
NM56,14
NM57,4
NM59,1
NM61,1
NM62,11
NM63,13
NM64,13
NM65,7
NM66,17
NM67,7
NM68,6
NM69,7
NM70,10
NM71,18
NM72,7
NM73,13
NM74,3
NM75,4
NM76,8
NM77,5
NM78,5
NM79,3
NM80,14
NM81,10
NM82,21
NM83,11
NM84,8
NM85,5
NM86,10
NM88,5
NM89,2
NM90,7
NM91,12
NM92,7
NM93,19
NM94,16
NM95,10
NM96,4
NM97,3
NM98,1
NM99,1
NN00,5
NN01,8
NN02,14
NN03,8
NN04,7
NN05,13
NN06,15
NN07,14
NN08,1
NN09,4
NN10,14
NN11,9
NN12,14
NN13,5
NN14,2
NN15,7
NN16,13
NN17,14
NN18,13
NN19,6
NN20,10
NN21,8
NN22,5
NN23,4
NN24,5
NN25,11
NN26,3
NN27,2
NN28,13
NN29,6
NN30,14
NN31,13
NN32,13
NN33,4
NN34,4
NN35,3
NN36,3
NN37,5
NN38,7
NN39,5
NN40,18
NN41,7
NN42,10
NN43,5
NN44,7
NN45,8
NN46,2
NN47,5
NN48,5
NN49,1
NN50,23
NN51,16
NN52,14
NN53,7
NN54,6
NN55,7
NN56,2
NN57,4
NN58,6
NN59,9
NN60,22
NN61,10
NN62,10
NN63,11
NN64,8
NN65,6
NN66,6
NN67,10
NN68,7
NN69,15
NN70,19
NN71,9
NN72,11
NN73,5
NN74,11
NN75,7
NN76,14
NN77,8
NN78,1
NN79,12
NN80,16
NN81,20
NN82,14
NN83,10
NN84,11
NN85,8
NN86,13
NN87,4
NN88,2
NN89,7
NN90,15
NN91,20
NN92,13
