"gr","freq"
"F70I",1
"F70K",2
"F70Q",2
"F70T",1
"F70X",1
"F71C",1
"F71E",1
"F71Q",1
"F71U",1
"F71Z",1
"F72I",1
"F72J",2
"F72L",1
"F72P",1
"F72T",1
"F72W",2
"F73B",1
"F73C",1
"F73V",1
"F74W",1
"F80E",3
"F80F",2
"F80N",1
"F81C",3
"F81I",1
"F81S",1
"F82H",1
"F82I",1
"F82J",1
"F82W",1
"F83A",1
"F83I",1
"F83M",1
"F83R",1
"F84A",2
"F84B",1
"F84L",3
"F84W",1
"F90Q",2
"F90Z",2
"F91Y",3
"F92B",1
"F92K",1
"F92P",1
"F92Q",4
"F92R",1
"F92V",1
"F93H",1
"F93Z",2
"F94F",1
"F94V",2
"G00K",3
"G00Q",2
"G00V",3
"G00W",2
"G01E",1
"G02A",1
"G02C",1
"G02J",2
"G02M",1
"G02S",1
"G02W",4
"G03A",1
"G03W",2
"G04A",1
"G04F",1
"G04K",2
"G04Q",1
"G04V",1
"G10A",2
"G10F",1
"G10M",1
"G10X",1
"G11M",2
"G11N",3
"G12B",1
"G12H",1
"G12J",3
"G12P",5
"G12Y",1
"G13C",2
"G13E",4
"G13U",1
"G14A",2
"G14F",1
"G20B",1
"G20C",3
"G20F",1
"G20H",2
"G20J",2
"G20K",1
"G20L",1
"G20Q",1
"G20S",1
"G20T",1
"G20V",5
"G20W",4
"G21H",1
"G21I",2
"G21L",1
"G21P",1
"G21S",2
"G22F",3
"G22G",2
"G22K",2
"G22P",1
"G22T",2
"G22V",6
"G22W",1
"G22Y",2
"G22Z",2
"G23B",2
"G23D",4
"G23V",3
"G23W",1
"G30A",1
"G30B",3
"G30C",1
"G30K",1
"G30R",1
"G30W",1
"G30Z",2
"G31A",4
"G31Q",2
"G31X",6
"G32A",6
"G32B",1
"G32G",1
"G32H",1
"G32I",1
"G32J",3
"G32M",2
"G32N",1
"G32P",2
"G32S",2
"G32U",1
"G32W",3
"G32X",2
"G32Y",4
"G32Z",2
"G33A",2
"G33B",1
"G33C",1
"G33E",2
"G33F",1
"G33G",2
"G33I",2
"G33J",5
"G33K",2
"G33L",1
"G33M",1
"G33N",2
"G33R",2
"G33S",3
"G33V",2
"G33X",1
"G33Z",2
"G40A",2
"G40E",1
"G40F",1
"G40H",1
"G40I",2
"G40J",2
"G40L",2
"G40M",4
"G40Q",1
"G40R",2
"G40S",2
"G40T",2
"G40W",2
"G40Z",3
"G41C",4
"G41D",3
"G41E",1
"G41F",1
"G41J",1
"G41K",1
"G41M",3
"G41N",1
"G41V",1
"G41Y",2
"G42B",2
"G42E",2
"G42G",1
"G42H",2
"G42I",2
"G42J",1
"G42L",2
"G42M",2
"G42P",3
"G42U",2
"G43A",1
"G43B",1
"G43C",1
"G43D",1
"G43H",2
"G43K",2
"G43L",3
"G43M",2
"G43Q",2
"G43W",3
"G43X",7
"G47Z",4
"G48V",4
"G48W",4
"G50B",1
"G50D",2
"G50E",2
"G50J",1
"G50N",1
"G50P",1
"G50Q",1
"G50R",1
"G50V",1
"G50X",1
"G50Z",3
"G51B",2
"G51C",1
"G51D",2
"G51E",2
"G51F",1
"G51Q",2
"G51V",2
"G51W",2
"G51Z",2
"G52C",2
"G52G",2
"G52H",2
"G52I",2
"G52K",2
"G52M",3
"G52N",1
"G52P",2
"G52R",1
"G52W",2
"G52Y",2
"G52Z",4
"G53A",2
"G53B",1
"G53D",2
"G53F",1
"G53G",2
"G53H",4
"G53L",2
"G53M",4
"G53R",3
"G53S",2
"G53T",4
"G53V",2
"G53W",1
"G54M",2
"G54R",1
"G54S",16
"G54T",1
"G54V",3
"G54W",4
"G54X",4
"G54Y",6
"G54Z",2
"G55R",4
"G55S",2
"G57Y",2
"G57Z",3
"G58H",3
"G58P",4
"G58Z",1
"G59Q",1
"G60B",1
"G60D",2
"G60E",1
"G60F",3
"G60H",2
"G60I",1
"G60J",1
"G60K",2
"G60R",1
"G60S",1
"G60T",2
"G60U",1
"G60W",2
"G60X",1
"G60Z",1
"G61A",1
"G61E",3
"G61F",2
"G61I",3
"G61K",2
"G61L",1
"G61N",2
"G61P",2
"G61Q",1
"G61R",3
"G61S",1
"G61T",3
"G61W",2
"G61Z",2
"G62A",2
"G62B",2
"G62C",4
"G62D",2
"G62E",2
"G62G",3
"G62H",2
"G62K",1
"G62L",1
"G62M",1
"G62P",5
"G62Q",2
"G62R",2
"G62U",4
"G62V",2
"G62W",3
"G62X",2
"G62Y",2
"G63A",1
"G63C",2
"G63D",15
"G63F",1
"G63G",7
"G63H",6
"G63J",5
"G63K",2
"G63L",4
"G63M",1
"G63Q",9
"G63R",3
"G63T",1
"G63U",1
"G63W",1
"G63X",3
"G63Y",7
"G63Z",4
"G64B",6
"G64C",1
"G64D",6
"G64F",1
"G64G",1
"G64H",5
"G64I",1
"G64J",5
"G64K",4
"G64L",1
"G64M",1
"G64N",2
"G64P",2
"G64Q",3
"G64R",5
"G64S",2
"G64T",2
"G64V",4
"G64W",3
"G64X",4
"G64Z",1
"G65F",3
"G65Q",2
"G65R",2
"G65V",2
"G65W",3
"G65X",5
"G65Y",3
"G67B",1
"G67D",1
"G67H",3
"G67J",1
"G67Y",6
"G68A",1
"G68B",1
"G68C",1
"G68E",1
"G68J",1
"G68P",2
"G68T",1
"G68Z",1
"G69L",1
"G69Q",3
"G69S",1
"G69V",2
"G69X",5
"G69Y",2
"G69Z",2
"G70B",1
"G70C",1
"G70E",1
"G70F",1
"G70G",2
"G70H",2
"G70I",1
"G70J",2
"G70L",2
"G70M",2
"G70P",2
"G70Q",1
"G70V",1
"G70W",1
"G70Y",2
"G70Z",2
"G71F",4
"G71I",9
"G71K",2
"G71L",1
"G71Q",6
"G71R",2
"G71U",1
"G71V",2
"G71W",5
"G71Y",3
"G72B",2
"G72D",5
"G72E",1
"G72I",4
"G72J",2
"G72K",2
"G72L",1
"G72M",2
"G72P",2
"G72Q",2
"G72R",1
"G72T",4
"G72U",2
"G72V",2
"G72W",2
"G72X",3
"G72Y",3
"G72Z",5
"G73A",2
"G73B",6
"G73C",11
"G73D",9
"G73E",4
"G73G",3
"G73H",6
"G73I",3
"G73J",3
"G73L",3
"G73M",10
"G73N",4
"G73P",4
"G73R",3
"G73S",9
"G73T",7
"G73V",1
"G73W",4
"G73X",7
"G73Y",3
"G73Z",1
"G74A",2
"G74E",3
"G74F",2
"G74G",4
"G74I",3
"G74J",2
"G74K",2
"G74L",7
"G74N",2
"G74P",2
"G74Q",4
"G74R",3
"G74V",2
"G74W",3
"G74Y",1
"G75A",2
"G75B",2
"G75C",5
"G75D",4
"G75E",1
"G75F",2
"G75G",5
"G75H",4
"G75I",4
"G75L",6
"G75M",3
"G75N",3
"G75Q",2
"G75R",4
"G75S",2
"G75T",4
"G75U",1
"G75V",2
"G75W",1
"G75X",2
"G75Y",5
"G75Z",4
"G76E",9
